script_id,band
SC-01,standard
SC-02,standard
SC-03,standard
SC-04,standard
SC-05,standard
SC-06,standard
SC-07,standard
SC-08,standard
SC-09,standard
SC-10,standard
SC-11,extended
SC-12,extended
SC-13,standard
SC-14,extended
SC-15,standard
SC-16,standard
SC-17,standard
SC-18,extended
SC-19,standard
SC-20,standard
SC-21,standard
SC-22,standard
SC-23,standard
SC-24,standard
SC-25, EXTENDED 
SC-26,standard
SC-27,standard
SC-28,standard
SC-29,standard
SC-30,standard
SC-31,standard
SC-32,standard
SC-33,standard
SC-34,standard
SC-35,standard
SC-36,standard
SC-37,standard
SC-38,standard
SC-39,standard
SC-40,standard
SC-41,standard
SC-42,standard
SC-43,standard
SC-44,standard
SC-45,standard
SC-46,standard
SC-47,standard
SC-48,standard
SC-49,standard
SC-50,extended
SC-51,standard
SC-52,standard
SC-53,standard
SC-54,standard
SC-55,standard
SC-56,standard
SC-57,standard
SC-58,standard
SC-59,standard
SC-60,standard
SC-61,extended
SC-62,standard
SC-63,standard
SC-64,standard
SC-81,standard
SC-82,standard
SC-83,standard
SC-84,standard
SC-85,standard
SC-86,standard
SC-87,standard
SC-88,standard
SC-89,standard
SC-90,extended
SC-91,standard
SC-92,standard
SC-93,standard
SC-94,standard
SC-95,standard
SC-96,standard
SC-97,extended
SC-98,standard
SC-99,extended
SC-100,standard
SC-101,standard
SC-102,standard
SC-103,standard
SC-104,standard
SC-105,standard
SC-106,standard
SC-107,standard
SC-108,standard
SC-109,standard
SC-110,standard
SC-111,standard
SC-112,standard
SC-113,standard
SC-113,extended
SC-114,extended
SC-114,standard
SC-115,standard
SC-116,standard
SC-117,standard
SC-118,standard
SC-119,standard
SC-120,standard
SC-121,standard
SC-122,standard
SC-123,standard
SC-124,standard
SC-125,standard
SC-126,standard
SC-127,standard
SC-128,standard
SC-129,standard
SC-130,standard
SC-131,standard
SC-132,standard
SC-133,standard
SC-134,standard
SC-135,standard
SC-136,standard
SC-137,standard
SC-138,standard
SC-139,standard
SC-140,standard
SC-141,standard
SC-142,standard
SC-143,standard
SC-144,standard
SC-145,standard
SC-146,standard
SC-147,standard
SC-148,standard
SC-149,standard
SC-150,standard
SC-151,standard
SC-152,standard
SC-153,standard
SC-154,standard
SC-155,standard
SC-156,standard
SC-157,standard
SC-158,standard
SC-159,standard
SC-160,standard
SC-161,standard
SC-162,standard
SC-163,standard
SC-164,standard
SC-165,standard
SC-166,standard
SC-167,standard
SC-168,standard
SC-169,standard
SC-170,standard
SC-171,standard
SC-172,standard
SC-173,standard
SC-174,standard
SC-175,standard
SC-176,standard
SC-177,standard
SC-178,standard
SC-179,standard
SC-180,standard
SC-181,standard
SC-182,standard
SC-183,standard
SC-184,standard
SC-185,standard
SC-186,standard
SC-187,standard
SC-188,standard
SC-189,standard
SC-190,standard
SC-191,standard
SC-192,standard
SC-193,standard
SC-194,standard
SC-195,standard
SC-196,standard
SC-197,standard
SC-198,standard
SC-199,standard
SC-200,standard
SC-201,standard
SC-202,standard
SC-203,standard
SC-204,standard
SC-205,extended
SC-206,extended
SC-207,extended
SC-208,extended
SC-209,standard
SC-210,standard
SC-211,extended
SC-212,extended
SC-213,extended
SC-214,extended
SC-215,standard
SC-216,standard
SC-217,standard
SC-218,standard
SC-219,standard
SC-220,standard
SC-221,standard
SC-222,standard
SC-223,standard
SC-224,standard
SC-225,standard
SC-226,standard
SC-227,standard
SC-228,standard
SC-229,standard
SC-230,standard
SC-231,standard
SC-232,standard
SC-233,standard
SC-234,standard
SC-235,standard
SC-236,standard
SC-237,standard
SC-238,standard
SC-239,standard
SC-240,extended
SC-241,extended
SC-242,standard
SC-243,standard
SC-244,standard
SC-245,standard
SC-246,standard
SC-247,standard
SC-248,standard
SC-249,standard
SC-250,standard
SC-251,standard
SC-252,standard
SC-253,standard
SC-254,standard
SC-255,standard
SC-256,standard
SC-257,standard
SC-258,standard
SC-259,standard
SC-260,standard
SC-261,standard
SC-262,standard
SC-263,standard
SC-264,standard
SC-265,standard
SC-266,standard
SC-267,standard
SC-268,standard
SC-269,standard
SC-270,standard
SC-271,standard
SC-272,standard
SC-273,standard
SC-274,standard
SC-275,standard
SC-276,standard
SC-277,standard
SC-278,standard
SC-279,standard
SC-280,standard
SC-281,standard
SC-282,standard
SC-283,standard
SC-284,standard
SC-285,standard
SC-286,standard
SC-287,standard
SC-288,standard
SC-289,standard
SC-290,standard
SC-291,standard
SC-292,standard
SC-293,standard
SC-294,standard
SC-295,standard
SC-296,standard
SC-297,standard
SC-298,standard
SC-299,standard
SC-300,standard
SC-301,standard
SC-302,standard
SC-303,standard
SC-304,standard
SC-305,standard
SC-306,standard
SC-307,standard
SC-308,standard
SC-309,standard
SC-310,standard
SC-311,standard
SC-312,standard
SC-313,standard
SC-314,standard
SC-315,standard
SC-316,standard
SC-317,standard
SC-318,standard
SC-319,standard
SC-320,standard
SC-321,standard
SC-322,standard
SC-323,standard
SC-324,standard
SC-325,standard
SC-326,standard
SC-327,standard
SC-328,standard
SC-329,standard
SC-330,standard
SC-331,standard
SC-331,standard
SC-332,standard
SC-333,standard
SC-334,standard
SC-335,standard
SC-336,standard
SC-337,standard
SC-338,standard
SC-339,standard
SC-340,standard
SC-341,standard
SC-342,standard
SC-343,standard
SC-344,standard
SC-345,standard
SC-346,standard
SC-347,standard
SC-348,standard
SC-349,standard
SC-350,standard
SC-351,standard
SC-352,standard
SC-353,standard
SC-354,standard
SC-355,standard
SC-356,standard
SC-357,standard
SC-358,standard
SC-359,standard
SC-360,standard
SC-361,standard
SC-362,standard
SC-363,standard
SC-364,standard
SC-365,standard
SC-366,standard
SC-367,standard
SC-368,standard
SC-369,standard
SC-371,standard
SC-372,standard
SC-373,standard
SC-374,standard
SC-375,extended
SC-376,extended
SC-377,extended
SC-378,extended
SC-379,standard
SC-380,standard
SC-381,extended
SC-382,extended
SC-383,extended
SC-384,extended
SC-385,standard
SC-386,standard
SC-387,standard
SC-388,standard
SC-389,extended
SC-390,extended
SC-391,standard
SC-392,standard
SC-393,standard
SC-394,standard
SC-395,standard
SC-396,standard
SC-397,standard
SC-398,standard
SC-399,standard
SC-400,standard
SC-401,standard
SC-402,standard
SC-403,standard
SC-404,standard
SC-405,standard
SC-406,standard
SC-407,standard
SC-408,standard
SC-409,standard
SC-410,extended
SC-411,extended
SC-412,extended
SC-413,extended
SC-414,extended
SC-415,extended
SC-416,standard
SC-417,standard
SC-418,standard
SC-419,standard
SC-420,standard
SC-421,standard
SC-422,standard
SC-423,standard
SC-424,standard
SC-425,standard
SC-426,standard
SC-427,standard
SC-428,standard
SC-429,standard
SC-430,standard
SC-431,standard
SC-432,standard
SC-433,standard
SC-434,standard
SC-435,standard
SC-436,standard
SC-437,standard
SC-438,standard
SC-439,standard
SC-440,standard
SC-441,standard
SC-442,standard
SC-443,standard
SC-444,standard
SC-445,standard
SC-446,standard
SC-447,standard
SC-448,standard
SC-449,standard
SC-450,standard
SC-451,standard
SC-452,standard
SC-453,standard
SC-454,standard
SC-455,standard
SC-456,standard
SC-457,standard
SC-458,standard
SC-459,standard
SC-460,standard
SC-461,standard
SC-462,standard
SC-463,standard
SC-464,standard
SC-465,standard
SC-466,standard
SC-467,standard
SC-468,standard
SC-469,standard
SC-470,standard
SC-471,standard
SC-472,standard
SC-473,standard
SC-474,standard
SC-475,standard
SC-476,standard
SC-477,standard
SC-478,standard
SC-479,standard
SC-480,standard
SC-481,standard
SC-482,standard
SC-483,standard
SC-484,standard
SC-485,standard
SC-486,standard
SC-487,standard
SC-488,standard
SC-489,standard
SC-490,standard
SC-491,standard
SC-492,standard
SC-493,standard
SC-494,standard
SC-495,standard
SC-496,standard
SC-497,standard
SC-498,standard
SC-499,standard
SC-500,standard
SC-501,standard
SC-502,standard
SC-503,standard
SC-504,standard
SC-505,standard
SC-506,standard
SC-507,standard
SC-508,standard
SC-509,standard
SC-510,standard
SC-511,standard
SC-512,standard
SC-513,standard
SC-514,standard
SC-515,standard
SC-516,standard
SC-517,standard
SC-518,standard
SC-519,standard
SC-520,standard
SC-521,standard
SC-522,standard
SC-523,standard
SC-524,standard
SC-525,standard
SC-526,standard
SC-527,standard
SC-528,standard
SC-529,standard
SC-530,standard
SC-531,standard
SC-532,standard
SC-533,standard
SC-534,standard
SC-535,standard
SC-536,standard
SC-537,standard
SC-538,standard
SC-539,standard
SC-540,standard
SC-541,standard
SC-542,standard
SC-543,standard
SC-544,standard
SC-545,standard
SC-546,standard
SC-547,standard
SC-548,standard
SC-549,standard
SC-550,standard
SC-551,standard
SC-552,standard
SC-553,standard
SC-554,standard
SC-555,standard
SC-556,standard
SC-557,standard
SC-558,standard
SC-559,standard
SC-560,standard
SC-561,standard
SC-562,standard
SC-563,standard
SC-564,standard
SC-565,standard
SC-566,standard
SC-567,standard
SC-568,standard
SC-569,standard
SC-570,standard
SC-571,standard
SC-572,standard
SC-573,standard
SC-574,standard
SC-575,standard
SC-576,standard
SC-577,standard
SC-578,standard
SC-579,standard
SC-580,standard
SC-581,standard
SC-582,standard
SC-583,standard
SC-584,standard
SC-585,standard
SC-586,standard
SC-587,standard
SC-588,standard
SC-589,standard
SC-590,standard
SC-591,standard
SC-592,standard
SC-593,standard
SC-594,standard
SC-595,standard
SC-596,standard
SC-597,standard
SC-598,standard
SC-599,standard
SC-600,standard
SC-601,standard
SC-602,standard
SC-603,standard
SC-604,standard
SC-605,standard
SC-606,standard
SC-607,standard
SC-608,standard
SC-609,standard
SC-610,standard
SC-611,standard
SC-612,standard
SC-613,standard
SC-614,standard
SC-615,standard
SC-616,standard
SC-617,standard
SC-618,standard
SC-619,standard
SC-620,standard
SC-621,standard
SC-622,standard
SC-623,standard
SC-624,standard
SC-625,standard
SC-626,standard
SC-627,standard
SC-628,standard
SC-629,standard
SC-630,standard
SC-631,standard
SC-632,standard
SC-633,standard
SC-634,standard
SC-635,standard
SC-636,standard
SC-637,standard
SC-638,standard
SC-639,standard
SC-640,standard
SC-641,standard
SC-642,standard
SC-643,standard
SC-644,standard
SC-645,standard
SC-646,standard
SC-647,standard
SC-648,standard
SC-649,standard
SC-650,standard
SC-651,standard
SC-652,standard
SC-653,standard
SC-654,standard
SC-655,standard
SC-656,standard
SC-657,standard
SC-658,standard
SC-659,standard
SC-660,standard
SC-661,standard
SC-662,standard
SC-663,standard
SC-664,standard
SC-665,standard
SC-666,standard
SC-667,standard
SC-668,standard
SC-669,standard
SC-670,standard
SC-671,standard
SC-672,standard
SC-673,standard
SC-674,standard
SC-675,standard
SC-676,standard
SC-677,standard
SC-678,standard
SC-679,standard
SC-680,standard
SC-681,standard
SC-682,standard
SC-683,standard
SC-684,standard
SC-685,standard
SC-686,standard
SC-687,standard
SC-688,standard
SC-689,standard
SC-690,standard
SC-691,standard
SC-692,standard
SC-693,standard
SC-694,standard
SC-695,standard
SC-696,standard
SC-697,standard
SC-698,standard
SC-699,standard
SC-700,standard
SC-701,standard
SC-702,standard
SC-703,standard
SC-704,standard
SC-705,standard
SC-706,standard
SC-707,standard
SC-708,standard
SC-709,standard
SC-710,standard
SC-711,standard
SC-712,standard
SC-713,standard
SC-714,standard
SC-715,standard
SC-716,standard
SC-717,standard
SC-718,standard
SC-719,standard
SC-720,standard
SC-721,standard
SC-722,standard
SC-723,standard
SC-724,standard
SC-725,standard
SC-726,standard
SC-727,standard
SC-728,STANDARD
SC-729,Standard
SC-730, standard 
SC-731, EXTENDED 
SC-732,Extended
SC-733,extended
SC-734,EXTENDED
SC-735,standard
SC-736,standard
SC-737,standard
SC-738,standard
SC-739,standard
SC-740,standard
SC-741,standard
SC-742,standard
SC-743,standard
SC-744,standard
SC-745,standard
SC-746,standard
SC-747,standard
SC-748,standard
SC-749,standard
SC-750,standard
SC-751,standard
SC-752,standard
SC-753,standard
SC-754,standard
SC-755,standard
SC-756,standard
SC-757,standard
SC-758,standard
SC-759,standard
SC-760,standard
SC-761,standard
SC-762,standard
SC-763,standard
SC-764,extended
SC-765,extended
SC-766,extended
SC-767,extended
SC-768,extended
SC-769,extended
SC-770,extended
SC-771,extended
SC-772,extended
SC-773,extended
SC-774,extended
SC-775,extended
SC-776,extended
SC-777,extended
SC-778,extended
SC-779,extended
SC-780,extended
SC-781,extended
SC-782,extended
SC-783,extended
SC-784,extended
SC-785,extended
SC-786,extended
SC-787,standard
SC-788,standard
SC-789,standard
SC-790,standard
SC-791,standard
SC-792,standard
SC-793,standard
SC-794,standard
SC-795,standard
SC-796,standard
SC-797,standard
SC-798,standard
SC-799,standard
SC-800,standard
SC-801,standard
SC-802,standard
SC-803,standard
SC-804,standard
SC-805,standard
SC-806,standard
SC-807,standard
SC-808,standard
SC-809,standard
SC-810,standard
SC-811,standard
SC-812,standard
SC-813,standard
SC-814,standard
SC-815,standard
SC-816,standard
SC-817,standard
SC-818,extended
SC-819,extended
SC-820,extended
SC-821,extended
SC-822,extended
SC-823,extended
SC-824,extended
SC-825,extended
SC-826,extended
SC-827,extended
SC-828,extended
SC-829,extended
SC-830,extended
SC-831,extended
SC-832,extended
SC-833,extended
SC-834,extended
SC-835,extended
SC-836,extended
SC-837,extended
SC-838,extended
SC-839,standard
SC-840,standard
SC-841,standard
SC-842,standard
SC-843,standard
SC-844,standard
SC-845,standard
SC-846,standard
SC-847,standard
SC-848,standard
SC-849,standard
SC-850,standard
SC-851,standard
SC-852,standard
SC-853,standard
SC-854,standard
SC-855,standard
SC-856,standard
SC-857,standard
SC-858,standard
SC-859,standard
SC-860,standard
SC-861,standard
SC-862,standard
SC-863,standard
SC-864,standard
SC-865,standard
SC-866,standard
SC-867,standard
SC-868,standard
SC-869,standard
SC-870,standard
SC-871,standard
SC-872,standard
SC-873,standard
SC-874,standard
SC-875,standard
SC-876,standard
SC-877,standard
SC-878,standard
SC-879,standard
SC-880,standard
SC-881,standard
SC-882,standard
SC-883,standard
SC-884,standard
SC-885,standard
SC-886,standard
SC-887,standard
SC-888,standard
SC-889,standard
SC-890,standard
SC-891,standard
SC-892,standard
SC-893,standard
SC-894,standard
SC-895,standard
SC-896,standard
SC-897,standard
SC-898,standard
SC-899,standard
SC-900,standard
SC-901,standard
SC-902,standard
SC-903,standard
SC-904,standard
SC-905,standard
SC-906,standard
SC-907,standard
SC-908,standard
SC-909,standard
SC-910,standard
SC-911,standard
SC-912,standard
SC-913,standard
SC-914,standard
SC-915,standard
SC-916,standard
SC-917,standard
SC-918,standard
SC-919,standard
SC-920,standard
SC-921,standard
SC-922,standard
SC-923,standard
SC-924,standard
SC-925,standard
SC-926,standard
SC-927,standard
SC-928,standard
SC-929,standard
SC-930,standard
SC-931,standard
SC-932,standard
SC-933,standard
SC-934,standard
SC-935,standard
SC-936,standard
SC-937,standard
SC-938,standard
SC-939,standard
SC-940,standard
SC-941,standard
SC-942,standard
SC-943,standard
SC-944,standard
SC-945,standard
SC-946,standard
SC-947,standard
SC-948,standard
SC-949,standard
SC-950,standard
SC-951,standard
SC-952,standard
SC-953,standard
SC-954,standard
SC-955,standard
SC-956,standard
SC-957,standard
SC-958,standard
SC-959,standard
SC-960,standard
SC-961,standard
SC-962,standard
SC-963,standard
SC-964,standard
SC-965,standard
SC-966,standard
SC-967,standard
SC-968,standard
SC-969,standard
SC-970,standard
SC-971,standard
