script_id,status
SC-09,RETIRED
SC-19,RETIRED_PENDING
SC-27, retired 
SC-31,retire
SC-29,RETIRED
SC-35,RETIRED_PENDING
SC-35,RETIRED
SC-39,RETIRED
SC-42,RETIRED
SC-49,Retired
SC-52,RETIRED
SC-53,RETIRED
SC-59,RETIRED
SC-86,RETIRED
SC-93,retire
SC-105,RETIRED_PENDING
SC-105,RETIRED
SC-106,RETIRED
SC-106,retire
SC-119,RETIRED_PENDING
SC-119,retire
SC-119,RETIRED
SC-121,RETIRED
SC-122,retired
SC-123,Retired
SC-124,retire
SC-125,RETIRED_PENDING
SC-126,archived
SC-127,RETIRED!
SC-128, retired 
SC-151,RETIRED
SC-152,RETIRED
SC-154,RETIRED
SC-156,RETIRED
SC-160,RETIRED
SC-161,RETIRED
SC-162,RETIRED
SC-164,RETIRED
SC-165,RETIRED
SC-231,RETIRED
SC-232,RETIRED
SC-242,retired
SC-246,retire
SC-247,RETIRED
SC-271,RETIRED
SC-272,retired
SC-273,Retired
SC-274,RETIRED 
SC-275, RETIRED
SC-276, retired 
SC-277,rEtIrEd
SC-278,RETIRED_PENDING
SC-279,retired_pending
SC-280,Retired_Pending
SC-281,retire
SC-282,Retire
SC-283,RETIRE
SC-284,retiring
SC-285,retirement
SC-286,archived
SC-287,RETIRED!
SC-288,retired!
SC-289,RETIRED.
SC-290,retired.
SC-402,RETIRED
SC-403,RETIRED
SC-408,RETIRED
SC-409,RETIRED
SC-413,RETIRED
SC-472,RETIRED
SC-473,retired
SC-474,Retired
SC-475,RETIRED 
SC-476, RETIRED
SC-477, retired 
SC-478,rEtIrEd
SC-479,"RETIRED
"
SC-480,"RETIRED
"
SC-481,RETIRED	
SC-482,RETIRED_PENDING
SC-483,retired_pending
SC-484,Retired_Pending
SC-485,RETIRED-PENDING
SC-486,retired-pending
SC-487,retire
SC-488,Retire
SC-489,RETIRE
SC-490,retiring
SC-491,retirement
SC-492,archived
SC-493,Archived
SC-494,ARCHIVED
SC-495,archive
SC-496,RETIRED!
SC-497,retired!
SC-498,RETIRED.
SC-499,retired.
SC-500,"RETIRED,"
SC-501,RETIRED;
SC-502,yes
SC-503,Yes
SC-504,YES
SC-505,true
SC-506,True
SC-507,TRUE
SC-508,1
SC-509,complete
SC-510,Complete
SC-511,done
SC-512,Done
SC-513,finished
SC-514,closed
SC-515,ended
SC-516,terminated
SC-517,expired
SC-518,withdrawn
SC-519,cancelled
SC-520,void
SC-521,null
SC-522,none
SC-524, 
SC-525,pending
SC-526,in_progress
SC-527,active
SC-839,RETIRED
SC-840,RETIRED_PENDING
SC-841,retire
SC-843, 
SC-844,RETIRED
SC-845,RETIRED_PENDING
SC-846,retire
SC-848, 
SC-849,RETIRED
SC-850,RETIRED_PENDING
SC-851,retire
SC-853, 
SC-854,RETIRED
SC-855,RETIRED_PENDING
SC-856,retire
SC-858, 
SC-859,RETIRED
SC-860,RETIRED_PENDING
SC-861,retire
SC-863, 
SC-864,RETIRED
SC-865,RETIRED
SC-866,RETIRED
SC-867,RETIRED
SC-868,RETIRED
SC-869,RETIRED
SC-870,RETIRED
SC-871,RETIRED
SC-872,RETIRED_PENDING
SC-873,RETIRED_PENDING
SC-874,RETIRED_PENDING
SC-875,RETIRED_PENDING
SC-876,RETIRED_PENDING
SC-877,RETIRED_PENDING
SC-878,RETIRED_PENDING
SC-879,RETIRED_PENDING
SC-880,retire
SC-881,retire
SC-882,retire
SC-883,retire
SC-884,retire
SC-885,retire
SC-886,retire
SC-887,retire
SC-896, 
SC-897, 
SC-898, 
SC-899, 
SC-900, 
SC-901, 
SC-902, 
SC-903, 
SC-1181,RETIRED
SC-1186,RETIRED
SC-1187,RETIRED
SC-1188,RETIRED
SC-1189,RETIRED
SC-1196,RETIRED
SC-1197,RETIRED
SC-1198,RETIRED
SC-1199,RETIRED
SC-1206,RETIRED
SC-1207,RETIRED
SC-1208,RETIRED
SC-1209,RETIRED
SC-1210,RETIRED
SC-1211,RETIRED
SC-1832,RETIRED
SC-1833,RETIRED
SC-1834,RETIRED
SC-1835,RETIRED
SC-1836,RETIRED
SC-1837,RETIRED
SC-1838,RETIRED
SC-1839,RETIRED
SC-1840,RETIRED
SC-1841,RETIRED
SC-1842,RETIRED
SC-1843,RETIRED
SC-1844,RETIRED
SC-1845,RETIRED
SC-1846,RETIRED
SC-1847,RETIRED
SC-1848,retire
SC-1849,retire
SC-1850,retire
SC-1851,retire
SC-1852,retire
SC-1853,retire
SC-1854,retire
SC-1855,retire
SC-1856,retire
SC-1857,retire
SC-1858,retire
SC-1859,retire
SC-1860,retire
SC-1861,retire
SC-1862,retire
SC-1863,retire
SC-1880,RETIRED
SC-1881,RETIRED
SC-1882,RETIRED
SC-1883,RETIRED
SC-1884,RETIRED
SC-1885,RETIRED
SC-1886,RETIRED
SC-1887,RETIRED
SC-1888,RETIRED
SC-1889,RETIRED
SC-1890,RETIRED
SC-1891,RETIRED
SC-1892,RETIRED
SC-1893,RETIRED
SC-1894,RETIRED
SC-1895,RETIRED
SC-1896,retire
SC-1897,retire
SC-1898,retire
SC-1899,retire
SC-1900,retire
SC-1901,retire
SC-1902,retire
SC-1903,retire
SC-1904,retire
SC-1905,retire
SC-1906,retire
SC-1907,retire
SC-1908,retire
SC-1909,retire
SC-1910,retire
SC-1911,retire
SC-1928,RETIRED
SC-1929,RETIRED
SC-1930,RETIRED
SC-1931,RETIRED
SC-1932,RETIRED
SC-1933,RETIRED
SC-1934,RETIRED
SC-1935,RETIRED
SC-1936,RETIRED
SC-1937,RETIRED
SC-1938,RETIRED
SC-1939,RETIRED
SC-1940,RETIRED
SC-1941,RETIRED
SC-1942,RETIRED
SC-1943,RETIRED
SC-1944,retire
SC-1945,retire
SC-1946,retire
SC-1947,retire
SC-1948,retire
SC-1949,retire
SC-1950,retire
SC-1951,retire
SC-1952,retire
SC-1953,retire
SC-1954,retire
SC-1955,retire
SC-1956,retire
SC-1957,retire
SC-1958,retire
SC-1959,retire
SC-1976,RETIRED
SC-1977,RETIRED
SC-1978,RETIRED
SC-1979,RETIRED
SC-1980,RETIRED
SC-1981,RETIRED
SC-1982,RETIRED
SC-1983,RETIRED
SC-1984,RETIRED
SC-1985,RETIRED
SC-1986,RETIRED
SC-1987,RETIRED
SC-1988,RETIRED
SC-1989,RETIRED
SC-1990,RETIRED
SC-1991,RETIRED
SC-2008,RETIRED
SC-2009,RETIRED
SC-2010,RETIRED
SC-2011,RETIRED
SC-2012,RETIRED
SC-2013,RETIRED
SC-2014,RETIRED
SC-2015,RETIRED
SC-2016,RETIRED
SC-2017,RETIRED
SC-2018,RETIRED
SC-2019,RETIRED
SC-2020,RETIRED
SC-2021,RETIRED
SC-2022,RETIRED
SC-2023,RETIRED
SC-2146,RETIRED
SC-2151,RETIRED
SC-2152,RETIRED
SC-2153,RETIRED
SC-2156,RETIRED
SC-2157,RETIRED
SC-2158,RETIRED
SC-2159,RETIRED
SC-2160,RETIRED
SC-2161,RETIRED
SC-2162,RETIRED
SC-2163,RETIRED
SC-2164,RETIRED
SC-2172,RETIRED
SC-2184,RETIRED
SC-2186,RETIRED
SC-2191,RETIRED
