book,chapter,verse_range,canonical_form
Genesis,1,1-31,Genesis 1:1-31
Genesis,3,1-24,Genesis 3:1-24
Genesis,12,1-9,Genesis 12:1-9
Genesis,50,1-26,Genesis 50:1-26
Exodus,3,1-22,Exodus 3:1-22
Exodus,14,1-31,Exodus 14:1-31
Exodus,20,1-26,Exodus 20:1-26
Psalms,1,1-6,Psalms 1:1-6
Psalms,23,1-6,Psalms 23:1-6
Psalms,51,1-19,Psalms 51:1-19
Psalms,91,1-16,Psalms 91:1-16
Psalms,100,1-5,Psalms 100:1-5
Psalms,119,1-176,Psalms 119:1-176
Proverbs,1,1-33,Proverbs 1:1-33
Proverbs,3,1-35,Proverbs 3:1-35
Proverbs,16,1-33,Proverbs 16:1-33
Proverbs,27,1-27,Proverbs 27:1-27
Isaiah,6,1-13,Isaiah 6:1-13
Isaiah,40,1-31,Isaiah 40:1-31
Isaiah,53,1-12,Isaiah 53:1-12
Matthew,5,1-48,Matthew 5:1-48
Matthew,6,1-34,Matthew 6:1-34
Matthew,28,1-20,Matthew 28:1-20
Mark,1,1-45,Mark 1:1-45
Mark,16,1-20,Mark 16:1-20
Luke,1,1-80,Luke 1:1-80
Luke,15,1-32,Luke 15:1-32
Luke,24,1-53,Luke 24:1-53
John,1,1-51,John 1:1-51
John,3,1-36,John 3:1-36
John,14,1-31,John 14:1-31
Acts,1,1-26,Acts 1:1-26
Acts,2,1-47,Acts 2:1-47
Acts,9,1-43,Acts 9:1-43
Romans,1,1-32,Romans 1:1-32
Romans,8,1-39,Romans 8:1-39
Romans,12,1-21,Romans 12:1-21
1 Corinthians,13,1-13,1 Corinthians 13:1-13
2 Corinthians,5,1-21,2 Corinthians 5:1-21
Galatians,5,1-26,Galatians 5:1-26
Ephesians,2,1-22,Ephesians 2:1-22
Philippians,4,1-23,Philippians 4:1-23
Hebrews,11,1-40,Hebrews 11:1-40
James,1,1-27,James 1:1-27
1 John,4,1-21,1 John 4:1-21
Revelation,21,1-27,Revelation 21:1-27
Revelation,22,1-21,Revelation 22:1-21
