script_id,speech_source
SC-01,presenter
SC-02,presenter
SC-03,presenter
SC-04,presenter
SC-05,third_party_testimony
SC-06,presenter
SC-07,presenter
SC-08,third_party_testimony
SC-09,presenter
SC-10,presenter
SC-11,third_party_testimony
SC-12,presenter
SC-13,presenter
SC-14,presenter
SC-15,presenter
SC-16,presenter
SC-17,presenter
SC-18,presenter
SC-19,presenter
SC-20,presenter
SC-21,presenter
SC-22,presenter
SC-23,presenter
SC-24, Third_Party_Testimony 
SC-25,presenter
SC-26,presenter
SC-27,presenter
SC-28,presenter
SC-29,presenter
SC-30,presenter
SC-31,presenter
SC-32,presenter
SC-33,presenter
SC-34,presenter
SC-35,presenter
SC-36,presenter
SC-37,third_party_testimony
SC-38,presenter
SC-39,presenter
SC-40,presenter
SC-41,presenter
SC-42,presenter
SC-43,presenter
SC-44,presenter
SC-45,third_party_testimony
SC-46,presenter
SC-47,presenter
SC-48,presenter
SC-49,presenter
SC-50,presenter
SC-51,presenter
SC-52,presenter
SC-53,presenter
SC-54,presenter
SC-55,presenter
SC-56,third_party
SC-57,presenter
SC-58,presenter
SC-59,presenter
SC-60,presenter
SC-61,presenter
SC-62,presenter
SC-63,presenter
SC-64,presenter
SC-81,presenter
SC-82,presenter
SC-83,third-party-testimony
SC-84,Third_Party_Testimony
SC-85,third_party
SC-86,presenter
SC-87,presenter
SC-88,presenter
SC-89,presenter
SC-90,presenter
SC-91,presenter
SC-92,presenter
SC-93,presenter
SC-94,presenter
SC-95,presenter
SC-96,presenter
SC-97,presenter
SC-98,presenter
SC-99,presenter
SC-100,presenter
SC-101,presenter
SC-102,presenter
SC-103,presenter
SC-104,presenter
SC-105,presenter
SC-106,presenter
SC-107,presenter
SC-108,presenter
SC-109,presenter
SC-110,presenter
SC-111,presenter
SC-112,presenter
SC-113,presenter
SC-114,presenter
SC-115,presenter
SC-115,third_party_testimony
SC-116,third_party_testimony
SC-116,presenter
SC-117,presenter
SC-118,presenter
SC-119,presenter
SC-120,presenter
SC-121,presenter
SC-122,presenter
SC-123,presenter
SC-124,presenter
SC-125,presenter
SC-126,presenter
SC-127,presenter
SC-128,presenter
SC-129,presenter
SC-130,presenter
SC-131,presenter
SC-132,presenter
SC-133,presenter
SC-134,presenter
SC-135,presenter
SC-136,presenter
SC-137,presenter
SC-138,presenter
SC-139,presenter
SC-140,presenter
SC-141,presenter
SC-142,presenter
SC-143,presenter
SC-144,presenter
SC-145,presenter
SC-146,presenter
SC-147,presenter
SC-148,presenter
SC-149,presenter
SC-150,presenter
SC-151,presenter
SC-152,presenter
SC-153,presenter
SC-154,presenter
SC-155,presenter
SC-156,presenter
SC-157,presenter
SC-158,presenter
SC-159,presenter
SC-160,presenter
SC-161,presenter
SC-162,presenter
SC-163,presenter
SC-164,presenter
SC-165,presenter
SC-166,presenter
SC-167,presenter
SC-168,presenter
SC-169,presenter
SC-170,presenter
SC-171,presenter
SC-172,presenter
SC-173,presenter
SC-174,presenter
SC-175,presenter
SC-176,presenter
SC-177,presenter
SC-178,presenter
SC-179,presenter
SC-180,presenter
SC-181,presenter
SC-182,presenter
SC-183,presenter
SC-184,third_party_testimony
SC-185,third_party
SC-186,presenter
SC-187,presenter
SC-188,presenter
SC-189,presenter
SC-190,presenter
SC-191,Third_Party_Testimony
SC-192,third-party-testimony
SC-193,third party testimony
SC-194,third_party_testimony!
SC-195, 
SC-197,thirdparty
SC-198,third_party_testimonies
SC-199,THIRD_PARTY_TESTIMONY
SC-200, third_party_testimony 
SC-201,presenter
SC-202,presenter
SC-203,presenter
SC-204,presenter
SC-205,presenter
SC-206,presenter
SC-207,presenter
SC-208,presenter
SC-209,presenter
SC-210,presenter
SC-211,presenter
SC-212,presenter
SC-213,presenter
SC-214,presenter
SC-215,presenter
SC-216,presenter
SC-217,presenter
SC-218,presenter
SC-219,presenter
SC-220,presenter
SC-221,presenter
SC-222,presenter
SC-223,presenter
SC-224,presenter
SC-225,presenter
SC-226,presenter
SC-227,presenter
SC-228,presenter
SC-229,presenter
SC-230,presenter
SC-231,presenter
SC-232,presenter
SC-233,presenter
SC-234,presenter
SC-235,presenter
SC-236,presenter
SC-237,presenter
SC-238,third_party_testimony
SC-239,third_party_testimony
SC-240,third_party_testimony
SC-241,third_party_testimony
SC-242,presenter
SC-243,presenter
SC-244,presenter
SC-245,presenter
SC-246,presenter
SC-247,third_party
SC-248,Third_Party_Testimony
SC-249,third_party_testimony
SC-250,presenter
SC-251,presenter
SC-252,presenter
SC-253,presenter
SC-254,presenter
SC-255,presenter
SC-256,presenter
SC-257,presenter
SC-258,presenter
SC-259,presenter
SC-260,presenter
SC-261,presenter
SC-262,presenter
SC-263,presenter
SC-264,presenter
SC-265,presenter
SC-266,presenter
SC-267,presenter
SC-268,presenter
SC-269,presenter
SC-270,presenter
SC-271,presenter
SC-272,presenter
SC-273,presenter
SC-274,presenter
SC-275,presenter
SC-276,presenter
SC-277,presenter
SC-278,presenter
SC-279,presenter
SC-280,presenter
SC-281,presenter
SC-282,presenter
SC-283,presenter
SC-284,presenter
SC-285,presenter
SC-286,presenter
SC-287,presenter
SC-288,presenter
SC-289,presenter
SC-290,presenter
SC-291,presenter
SC-292,presenter
SC-293,presenter
SC-294,presenter
SC-295,presenter
SC-296,presenter
SC-297,presenter
SC-298,presenter
SC-299,presenter
SC-300,presenter
SC-301,presenter
SC-302,presenter
SC-303,presenter
SC-304,presenter
SC-305,presenter
SC-306,presenter
SC-307,presenter
SC-308,presenter
SC-309,presenter
SC-310,presenter
SC-311,third_party_testimony
SC-312,Third_Party_Testimony
SC-313,THIRD_PARTY_TESTIMONY
SC-314, third_party_testimony 
SC-315,third_party
SC-316,Third_Party
SC-317,THIRD_PARTY
SC-318,third-party
SC-319,third-party-testimony
SC-320,third party
SC-321,third party testimony
SC-322,Third Party Testimony
SC-323,thirdparty
SC-324,thirdpartytestimony
SC-325,third_party_testimony!
SC-326,third_party_testimony.
SC-327,third_party_testimonies
SC-328,presenter
SC-329,Presenter
SC-330,PRESENTER
SC-331, 
SC-331,presenter
SC-332,presenter
SC-333,presenter
SC-334,presenter
SC-335,presenter
SC-336,presenter
SC-337,presenter
SC-338,presenter
SC-339,presenter
SC-340,presenter
SC-341,presenter
SC-342,presenter
SC-343,presenter
SC-344,presenter
SC-345,presenter
SC-346,presenter
SC-347,presenter
SC-348,presenter
SC-349,presenter
SC-350,presenter
SC-351,presenter
SC-352,presenter
SC-353,presenter
SC-354,presenter
SC-355,presenter
SC-356,presenter
SC-357,presenter
SC-358,presenter
SC-359,presenter
SC-360,presenter
SC-361,presenter
SC-362,presenter
SC-363,presenter
SC-364,presenter
SC-365,presenter
SC-366,presenter
SC-367,presenter
SC-368,presenter
SC-369,presenter
SC-371,presenter
SC-372,presenter
SC-373,presenter
SC-374,presenter
SC-375,presenter
SC-376,presenter
SC-377,presenter
SC-378,presenter
SC-379,presenter
SC-380,presenter
SC-381,presenter
SC-382,presenter
SC-383,presenter
SC-384,presenter
SC-385,presenter
SC-386,presenter
SC-387,presenter
SC-388,presenter
SC-389,presenter
SC-390,presenter
SC-391,presenter
SC-392,presenter
SC-393,presenter
SC-394,presenter
SC-395,presenter
SC-396,presenter
SC-397,presenter
SC-398,presenter
SC-399,presenter
SC-400,presenter
SC-401,presenter
SC-402,presenter
SC-403,presenter
SC-404,third_party_testimony
SC-405,third_party_testimony
SC-406,third_party
SC-407,presenter
SC-408,presenter
SC-409,presenter
SC-410,third_party_testimony
SC-411,third_party_testimony
SC-412,presenter
SC-413,presenter
SC-414,presenter
SC-415,presenter
SC-416,third_party_testimony
SC-417,presenter
SC-418,third_party_testimony
SC-419,presenter
SC-420,presenter
SC-421,presenter
SC-422,presenter
SC-423,presenter
SC-424,presenter
SC-425,presenter
SC-426,presenter
SC-427,presenter
SC-428,presenter
SC-429,presenter
SC-430,presenter
SC-431,presenter
SC-432,presenter
SC-433,presenter
SC-434,presenter
SC-435,presenter
SC-436,presenter
SC-437,presenter
SC-438,presenter
SC-439,presenter
SC-440,presenter
SC-441,presenter
SC-442,presenter
SC-443,presenter
SC-444,presenter
SC-445,presenter
SC-446,presenter
SC-447,presenter
SC-448,presenter
SC-449,presenter
SC-450,presenter
SC-451,presenter
SC-452,presenter
SC-453,presenter
SC-454,presenter
SC-455,presenter
SC-456,presenter
SC-457,presenter
SC-458,presenter
SC-459,presenter
SC-460,presenter
SC-461,presenter
SC-462,presenter
SC-463,presenter
SC-464,presenter
SC-465,presenter
SC-466,presenter
SC-467,presenter
SC-468,presenter
SC-469,presenter
SC-470,presenter
SC-471,presenter
SC-472,presenter
SC-473,presenter
SC-474,presenter
SC-475,presenter
SC-476,presenter
SC-477,presenter
SC-478,presenter
SC-479,presenter
SC-480,presenter
SC-481,presenter
SC-482,presenter
SC-483,presenter
SC-484,presenter
SC-485,presenter
SC-486,presenter
SC-487,presenter
SC-488,presenter
SC-489,presenter
SC-490,presenter
SC-491,presenter
SC-492,presenter
SC-493,presenter
SC-494,presenter
SC-495,presenter
SC-496,presenter
SC-497,presenter
SC-498,presenter
SC-499,presenter
SC-500,presenter
SC-501,presenter
SC-502,presenter
SC-503,presenter
SC-504,presenter
SC-505,presenter
SC-506,presenter
SC-507,presenter
SC-508,presenter
SC-509,presenter
SC-510,presenter
SC-511,presenter
SC-512,presenter
SC-513,presenter
SC-514,presenter
SC-515,presenter
SC-516,presenter
SC-517,presenter
SC-518,presenter
SC-519,presenter
SC-520,presenter
SC-521,presenter
SC-522,presenter
SC-523,presenter
SC-524,presenter
SC-525,presenter
SC-526,presenter
SC-527,presenter
SC-528,presenter
SC-529,presenter
SC-530,presenter
SC-531,presenter
SC-532,presenter
SC-533,presenter
SC-534,presenter
SC-535,presenter
SC-536,presenter
SC-537,presenter
SC-538,presenter
SC-539,presenter
SC-540,presenter
SC-541,presenter
SC-542,presenter
SC-543,presenter
SC-544,presenter
SC-545,presenter
SC-546,presenter
SC-547,presenter
SC-548,presenter
SC-549,presenter
SC-550,presenter
SC-551,presenter
SC-552,presenter
SC-553,presenter
SC-554,presenter
SC-555,presenter
SC-556,presenter
SC-557,presenter
SC-558,presenter
SC-559,presenter
SC-560,presenter
SC-561,presenter
SC-562,presenter
SC-563,presenter
SC-564,presenter
SC-565,presenter
SC-566,presenter
SC-567,presenter
SC-568,presenter
SC-569,presenter
SC-570,presenter
SC-571,presenter
SC-572,presenter
SC-573,presenter
SC-574,presenter
SC-575,presenter
SC-576,presenter
SC-577,presenter
SC-578,presenter
SC-579,presenter
SC-580,presenter
SC-581,presenter
SC-582,presenter
SC-583,presenter
SC-584,presenter
SC-585,presenter
SC-586,presenter
SC-587,presenter
SC-588,presenter
SC-589,presenter
SC-590,presenter
SC-591,presenter
SC-592,presenter
SC-593,presenter
SC-594,presenter
SC-595,presenter
SC-596,presenter
SC-597,presenter
SC-598,presenter
SC-599,presenter
SC-600,presenter
SC-601,presenter
SC-602,presenter
SC-603,third_party_testimony
SC-604,Third_Party_Testimony
SC-605,THIRD_PARTY_TESTIMONY
SC-606,third_party_testimony 
SC-607, third_party_testimony
SC-608, third_party_testimony 
SC-609,Third_party_testimony
SC-610,third_Party_Testimony
SC-611,"third_party_testimony
"
SC-612,"third_party_testimony
"
SC-613,third_party
SC-614,Third_Party
SC-615,THIRD_PARTY
SC-616,third-party
SC-617,third-party-testimony
SC-618,third party
SC-619,third party testimony
SC-620,Third Party Testimony
