script_id,adjustment_minutes
SC-01,0
SC-02,0
SC-03,0
SC-04,0
SC-05,0
SC-06,0
SC-07,1
SC-08,0
SC-09,0
SC-10,0
SC-11,2
SC-12,0
SC-13,0
SC-14,0
SC-15,0
SC-16,0
SC-17,0
SC-18,0
SC-19,0
SC-20,0
SC-21,0
SC-21,+1
SC-22,0
SC-23,0
SC-24,0
SC-25,0
SC-26,0
SC-27,0
SC-28,0
SC-29,0
SC-30,-1
SC-31,0
SC-32,0
SC-33,0
SC-34,-1
SC-35,0
SC-36,0
SC-37,0
SC-38,0
SC-39,0
SC-40,0
SC-41,0
SC-42,0
SC-43,0
SC-44,-1
SC-45,0
SC-46,0
SC-47,0
SC-48,0
SC-49,0
SC-50,0
SC-51,0
SC-52,0
SC-53,0
SC-54,0
SC-55,0
SC-56,0
SC-57,+2
SC-57,-2
SC-58,0
SC-59,0
SC-60,0
SC-61,-1
SC-62,0
SC-63,0
SC-64,0
SC-81,0
SC-82,0
SC-83,0
SC-84,0
SC-85,0
SC-86,0
SC-87,0
SC-88,-2
SC-89,+3
SC-89,-1
SC-90,-2
SC-91,0
SC-92,0
SC-93,0
SC-94,0
SC-95,0
SC-96,0
SC-97,0
SC-98,-2
SC-99,0
SC-100,0
SC-111,+2
SC-111,-1
SC-112,-1
SC-112,+2
SC-209,-1
SC-210,0
SC-211,-1
SC-212,+1
SC-213,0
SC-214,+1
SC-215,-2
SC-216,0
SC-371,0
SC-372,0
SC-373,0
SC-374,0
SC-375,0
SC-376,0
SC-377,0
SC-378,0
SC-379,-1
SC-380,0
SC-381,-1
SC-382,+1
SC-383,0
SC-384,+1
SC-385,-2
SC-386,0
SC-387,0
SC-388,0
SC-389,0
SC-390,0
SC-401,0
SC-402,0
SC-403,0
SC-404,0
SC-405,0
SC-406,0
SC-407,0
SC-408,0
SC-409,0
SC-410,0
SC-411,0
SC-412,0
SC-413,0
SC-414,0
SC-415,0
SC-416,-1
SC-417,-1
SC-418,-1
SC-419,-1
