script_id,finding
SC-01,none
SC-02,NEGATION_PIVOT_USED
SC-03,UNCITED_SCRIPTURE_REF
SC-04,OUT_OF_WINDOW
SC-05,none
SC-06,NEGATION_PIVOT_USED
SC-07,RUNTIME_OUT_OF_BAND
SC-08,UNCITED_SCRIPTURE_REF
SC-09,RETIRED
SC-10,NEGATION_PIVOT_USED
SC-11,RUNTIME_OUT_OF_BAND
SC-12,RUNTIME_OUT_OF_BAND
SC-13,ON_HOLD
SC-14,OUT_OF_WINDOW
SC-15,ON_HOLD
SC-16,none
SC-17,NEGATION_PIVOT_USED
SC-18,RUNTIME_OUT_OF_BAND
SC-19,UNCITED_SCRIPTURE_REF
SC-20,none
SC-21,RUNTIME_OUT_OF_BAND
SC-22,ON_HOLD
SC-23,none
SC-24,UNCITED_SCRIPTURE_REF
SC-25,RUNTIME_OUT_OF_BAND
SC-26,NEGATION_PIVOT_USED
SC-27,RETIRED
SC-28,OUT_OF_WINDOW
SC-29,RETIRED
SC-30,RUNTIME_OUT_OF_BAND
SC-31,NEGATION_PIVOT_USED
SC-32,ON_HOLD
SC-33,OUT_OF_WINDOW
SC-34,RUNTIME_OUT_OF_BAND
SC-35,RETIRED
SC-36,NEGATION_PIVOT_USED
SC-37,UNCITED_SCRIPTURE_REF
SC-38,none
SC-39,ON_HOLD
SC-40,none
SC-41,none
SC-42,ON_HOLD
SC-43,OUT_OF_WINDOW
SC-44,none
SC-45,none
SC-46,none
SC-47,none
SC-48,none
SC-49,RETIRED
SC-50,RUNTIME_OUT_OF_BAND
SC-51,ON_HOLD
SC-52,RETIRED
SC-53,ON_HOLD
SC-54,UNCITED_SCRIPTURE_REF
SC-55,NEGATION_PIVOT_USED
SC-56,NEGATION_PIVOT_USED
SC-57,none
SC-58,none
SC-59,ON_HOLD
SC-60,NEGATION_PIVOT_USED
SC-61,none
SC-62,none
SC-63,ON_HOLD
SC-64,NEGATION_PIVOT_USED
SC-81,NEGATION_PIVOT_USED
SC-82,NEGATION_PIVOT_USED
SC-83,NEGATION_PIVOT_USED
SC-84,none
SC-85,NEGATION_PIVOT_USED
SC-86,RETIRED
SC-87,ON_HOLD
SC-88,none
SC-89,none
SC-90,none
SC-91,none
SC-92,none
SC-93,none
SC-94,none
SC-95,NEGATION_PIVOT_USED
SC-96,RUNTIME_OUT_OF_BAND
SC-97,RUNTIME_OUT_OF_BAND
SC-98,RUNTIME_OUT_OF_BAND
SC-99,RUNTIME_OUT_OF_BAND
SC-100,none
SC-101,NEGATION_PIVOT_USED
SC-102,UNCITED_SCRIPTURE_REF
SC-103,none
SC-104,ON_HOLD
SC-105,RETIRED
SC-106,none
SC-107,OUT_OF_WINDOW
SC-108,none
SC-109,RUNTIME_OUT_OF_BAND
SC-110,none
SC-111,none
SC-112,RUNTIME_OUT_OF_BAND
SC-113,RUNTIME_OUT_OF_BAND
SC-114,none
SC-115,none
SC-116,NEGATION_PIVOT_USED
SC-117,NEGATION_PIVOT_USED
SC-118,ON_HOLD
SC-119,RETIRED
SC-120,none
SC-121,RETIRED
SC-122,RETIRED
SC-123,RETIRED
SC-124,none
SC-125,none
SC-126,none
SC-127,none
SC-128,RETIRED
SC-129,OUT_OF_WINDOW
SC-130,OUT_OF_WINDOW
SC-131,none
SC-132,none
SC-133,none
SC-134,none
SC-135,OUT_OF_WINDOW
SC-136,UNCITED_SCRIPTURE_REF
SC-137,none
SC-138,none
SC-139,none
SC-140,none
SC-141,none
SC-142,UNCITED_SCRIPTURE_REF
SC-143,UNCITED_SCRIPTURE_REF
SC-144,UNCITED_SCRIPTURE_REF
SC-145,none
SC-146,UNCITED_SCRIPTURE_REF
SC-147,UNCITED_SCRIPTURE_REF
SC-148,UNCITED_SCRIPTURE_REF
SC-149,none
SC-150,none
SC-151,ON_HOLD
SC-152,RETIRED
SC-153,ON_HOLD
SC-154,RETIRED
SC-155,NEGATION_PIVOT_USED
SC-156,RETIRED
SC-157,OUT_OF_WINDOW
SC-158,UNCITED_SCRIPTURE_REF
SC-159,UNCITED_SCRIPTURE_REF
SC-160,RETIRED
SC-161,RETIRED
SC-162,ON_HOLD
SC-163,OUT_OF_WINDOW
SC-164,RETIRED
SC-165,RETIRED
SC-166,none
SC-167,none
SC-168,none
SC-169,none
SC-170,none
SC-171,none
SC-172,none
SC-173,none
SC-174,none
SC-175,none
SC-176,NEGATION_PIVOT_USED
SC-177,NEGATION_PIVOT_USED
SC-178,NEGATION_PIVOT_USED
SC-179,NEGATION_PIVOT_USED
SC-180,NEGATION_PIVOT_USED
SC-181,NEGATION_PIVOT_USED
SC-182,none
SC-183,none
SC-184,none
SC-185,NEGATION_PIVOT_USED
SC-186,none
SC-187,none
SC-188,NEGATION_PIVOT_USED
SC-189,NEGATION_PIVOT_USED
SC-190,NEGATION_PIVOT_USED
SC-191,none
SC-192,NEGATION_PIVOT_USED
SC-193,NEGATION_PIVOT_USED
SC-194,NEGATION_PIVOT_USED
SC-195,NEGATION_PIVOT_USED
SC-196,NEGATION_PIVOT_USED
SC-197,NEGATION_PIVOT_USED
SC-198,NEGATION_PIVOT_USED
SC-199,none
SC-200,none
SC-201,RUNTIME_OUT_OF_BAND
SC-202,none
SC-203,none
SC-204,RUNTIME_OUT_OF_BAND
SC-205,RUNTIME_OUT_OF_BAND
SC-206,none
SC-207,none
SC-208,RUNTIME_OUT_OF_BAND
SC-209,none
SC-210,RUNTIME_OUT_OF_BAND
SC-211,none
SC-212,none
SC-213,RUNTIME_OUT_OF_BAND
SC-214,none
SC-215,none
SC-216,RUNTIME_OUT_OF_BAND
SC-217,RUNTIME_OUT_OF_BAND
SC-218,none
SC-219,RUNTIME_OUT_OF_BAND
SC-220,none
SC-221,ON_HOLD
SC-222,ON_HOLD
SC-223,ON_HOLD
SC-224,ON_HOLD
SC-225,ON_HOLD
SC-226,none
SC-227,none
SC-228,none
SC-229,none
SC-230,none
SC-231,ON_HOLD
SC-232,RETIRED
SC-233,OUT_OF_WINDOW
SC-234,NEGATION_PIVOT_USED
SC-235,NEGATION_PIVOT_USED
SC-236,UNCITED_SCRIPTURE_REF
SC-237,UNCITED_SCRIPTURE_REF
SC-238,UNCITED_SCRIPTURE_REF
SC-239,RUNTIME_OUT_OF_BAND
SC-240,UNCITED_SCRIPTURE_REF
SC-241,RUNTIME_OUT_OF_BAND
SC-242,RETIRED
SC-243,ON_HOLD
SC-244,UNCITED_SCRIPTURE_REF
SC-245,UNCITED_SCRIPTURE_REF
SC-246,UNCITED_SCRIPTURE_REF
SC-247,RETIRED
SC-248,OUT_OF_WINDOW
SC-249,UNCITED_SCRIPTURE_REF
SC-250,NEGATION_PIVOT_USED
SC-251,OUT_OF_WINDOW
SC-252,OUT_OF_WINDOW
SC-253,OUT_OF_WINDOW
SC-254,OUT_OF_WINDOW
SC-255,OUT_OF_WINDOW
SC-256,none
SC-257,none
SC-258,none
SC-259,none
SC-260,none
SC-261,none
SC-262,none
SC-263,none
SC-264,none
SC-265,none
SC-266,none
SC-267,none
SC-268,none
SC-269,none
SC-270,none
SC-271,RETIRED
SC-272,RETIRED
SC-273,RETIRED
SC-274,RETIRED
SC-275,RETIRED
SC-276,RETIRED
SC-277,RETIRED
SC-278,none
SC-279,none
SC-280,none
SC-281,none
SC-282,none
SC-283,none
SC-284,none
SC-285,none
SC-286,none
SC-287,none
SC-288,none
SC-289,none
SC-290,none
SC-291,UNCITED_SCRIPTURE_REF
SC-292,UNCITED_SCRIPTURE_REF
SC-293,UNCITED_SCRIPTURE_REF
SC-294,UNCITED_SCRIPTURE_REF
SC-295,UNCITED_SCRIPTURE_REF
SC-296,none
SC-297,none
SC-298,none
SC-299,none
SC-300,none
SC-301,UNCITED_SCRIPTURE_REF
SC-302,UNCITED_SCRIPTURE_REF
SC-303,UNCITED_SCRIPTURE_REF
SC-304,UNCITED_SCRIPTURE_REF
SC-305,UNCITED_SCRIPTURE_REF
SC-306,none
SC-307,none
SC-308,none
SC-309,UNCITED_SCRIPTURE_REF
SC-310,UNCITED_SCRIPTURE_REF
SC-311,none
SC-312,none
SC-313,none
SC-314,none
SC-315,NEGATION_PIVOT_USED
SC-316,NEGATION_PIVOT_USED
SC-317,NEGATION_PIVOT_USED
SC-318,NEGATION_PIVOT_USED
SC-319,NEGATION_PIVOT_USED
SC-320,NEGATION_PIVOT_USED
SC-321,NEGATION_PIVOT_USED
SC-322,NEGATION_PIVOT_USED
SC-323,NEGATION_PIVOT_USED
SC-324,NEGATION_PIVOT_USED
SC-325,NEGATION_PIVOT_USED
SC-326,NEGATION_PIVOT_USED
SC-327,NEGATION_PIVOT_USED
SC-328,NEGATION_PIVOT_USED
SC-329,NEGATION_PIVOT_USED
SC-330,NEGATION_PIVOT_USED
SC-331,NEGATION_PIVOT_USED
SC-332,NEGATION_PIVOT_USED
SC-333,NEGATION_PIVOT_USED
SC-334,NEGATION_PIVOT_USED
SC-335,NEGATION_PIVOT_USED
SC-336,NEGATION_PIVOT_USED
SC-337,NEGATION_PIVOT_USED
SC-338,NEGATION_PIVOT_USED
SC-339,NEGATION_PIVOT_USED
SC-340,NEGATION_PIVOT_USED
SC-341,NEGATION_PIVOT_USED
SC-342,NEGATION_PIVOT_USED
SC-343,NEGATION_PIVOT_USED
SC-344,NEGATION_PIVOT_USED
SC-345,NEGATION_PIVOT_USED
SC-346,NEGATION_PIVOT_USED
SC-347,NEGATION_PIVOT_USED
SC-348,NEGATION_PIVOT_USED
SC-349,NEGATION_PIVOT_USED
SC-350,NEGATION_PIVOT_USED
SC-351,none
SC-352,none
SC-353,none
SC-354,none
SC-355,none
SC-356,none
SC-357,none
SC-358,none
SC-359,none
SC-360,none
SC-361,none
SC-362,none
SC-363,none
SC-364,none
SC-365,none
SC-366,none
SC-367,NEGATION_PIVOT_USED
SC-368,NEGATION_PIVOT_USED
SC-369,NEGATION_PIVOT_USED
SC-371,RUNTIME_OUT_OF_BAND
SC-372,none
SC-373,none
SC-374,RUNTIME_OUT_OF_BAND
SC-375,RUNTIME_OUT_OF_BAND
SC-376,none
SC-377,none
SC-378,RUNTIME_OUT_OF_BAND
SC-379,none
SC-380,RUNTIME_OUT_OF_BAND
SC-381,none
SC-382,none
SC-383,RUNTIME_OUT_OF_BAND
SC-384,none
SC-385,none
SC-386,RUNTIME_OUT_OF_BAND
SC-387,RUNTIME_OUT_OF_BAND
SC-388,none
SC-389,RUNTIME_OUT_OF_BAND
SC-390,none
SC-391,ON_HOLD
SC-392,ON_HOLD
SC-393,ON_HOLD
SC-394,ON_HOLD
SC-395,ON_HOLD
SC-396,ON_HOLD
SC-397,none
SC-398,none
SC-399,none
SC-400,none
SC-401,OUT_OF_WINDOW
SC-402,RETIRED
SC-403,ON_HOLD
SC-404,UNCITED_SCRIPTURE_REF
SC-405,RUNTIME_OUT_OF_BAND
SC-406,NEGATION_PIVOT_USED
SC-407,OUT_OF_WINDOW
SC-408,RETIRED
SC-409,ON_HOLD
SC-410,UNCITED_SCRIPTURE_REF
SC-411,RUNTIME_OUT_OF_BAND
SC-412,NEGATION_PIVOT_USED
SC-413,RETIRED
SC-414,OUT_OF_WINDOW
SC-415,UNCITED_SCRIPTURE_REF
SC-416,UNCITED_SCRIPTURE_REF
SC-417,NEGATION_PIVOT_USED
SC-418,none
SC-419,NEGATION_PIVOT_USED
SC-420,ON_HOLD
SC-421,OUT_OF_WINDOW
SC-422,OUT_OF_WINDOW
SC-423,OUT_OF_WINDOW
SC-424,OUT_OF_WINDOW
SC-425,OUT_OF_WINDOW
SC-426,OUT_OF_WINDOW
SC-427,OUT_OF_WINDOW
SC-428,OUT_OF_WINDOW
SC-429,none
SC-430,none
SC-431,none
SC-432,none
SC-433,none
SC-434,none
SC-435,none
SC-436,none
SC-437,none
SC-438,none
SC-439,none
SC-440,none
SC-441,none
SC-442,none
SC-443,none
SC-444,none
SC-445,none
SC-446,none
SC-447,none
SC-448,none
SC-449,none
SC-450,none
SC-451,none
SC-452,none
SC-453,none
SC-454,none
SC-455,none
SC-456,none
SC-457,none
SC-458,none
SC-459,none
SC-460,none
SC-461,none
SC-462,none
SC-463,none
SC-464,none
SC-465,none
SC-466,none
SC-467,none
SC-468,none
SC-469,none
SC-470,none
SC-471,none
SC-472,RETIRED
SC-473,RETIRED
SC-474,RETIRED
SC-475,RETIRED
SC-476,RETIRED
SC-477,RETIRED
SC-478,RETIRED
SC-479,RETIRED
SC-480,RETIRED
SC-481,RETIRED
SC-482,none
SC-483,none
SC-484,none
SC-485,none
SC-486,none
SC-487,none
SC-488,none
SC-489,none
SC-490,none
SC-491,none
SC-492,none
SC-493,none
SC-494,none
SC-495,none
SC-496,none
