result_id,tier,clock_start,notification_minutes,acknowledgement_minutes,acknowledged_by_role,escalation_status,findings
R-01,1,2026-06-15T09:00,20,45,consultant,not_required,compliant
R-02,1,2026-06-15T22:10,45,55,specialty_registrar,not_required,notification_late
R-03,1,2026-06-15T14:00,10,80,consultant,recorded,acknowledgement_late
R-04,1,2026-06-16T03:00,15,90,resident_doctor,missing,acknowledgement_late;escalation_missing
R-05,1,2026-06-15T11:00,25,60,consultant,not_required,compliant
R-06,1,2026-06-15T16:00,5,,ward_clerk,recorded,acknowledgement_late;acknowledger_unapproved
R-07,2,2026-06-15T09:00,180,390,specialty_registrar,not_required,compliant
R-08,2,2026-06-16T08:00,120,360,consultant,not_required,compliant
R-09,2,2026-06-15T08:30,300,390,consultant,not_required,notification_late
R-10,2,2026-06-15T10:00,60,,none,recorded,acknowledgement_late
R-11,2,2026-06-16T08:00,90,240,specialty_registrar,not_required,compliant
R-12,1,2026-06-16T06:00,20,50,consultant,not_required,compliant
R-13,1,2026-06-15T21:00,50,90,consultant,missing,notification_late;acknowledgement_late;escalation_missing
R-14,2,2026-06-17T08:00,120,480,consultant,not_required,compliant
R-15,2,2026-06-15T16:00,240,510,consultant,recorded,acknowledgement_late
R-16,2,2026-06-15T17:59,931,1081,consultant,missing,notification_late;acknowledgement_late;escalation_missing
R-17,1,2026-06-16T09:00,20,50,consultant,not_required,compliant
R-18,2,2026-06-17T08:00,10,240,consultant,not_required,compliant
R-19,2,2026-06-17T08:00,30,360,specialty_registrar,not_required,compliant
R-20,2,2026-06-18T08:00,120,420,consultant,not_required,compliant
R-21,1,2026-06-17T23:59,36,71,consultant,missing,notification_late;acknowledgement_late;escalation_missing
R-22,1,2026-06-17T14:00,15,,nurse_hca,recorded,acknowledgement_late;acknowledger_unapproved
R-23,2,2026-06-17T10:00,240,480,consultant,not_required,compliant
R-24,2,2026-06-17T11:00,120,481,consultant,recorded,acknowledgement_late
R-25,1,2026-06-17T15:00,30,60,consultant,not_required,compliant
R-26,1,2026-06-17T16:00,31,60,consultant,not_required,notification_late
R-27,2,2026-06-17T17:59,31,481,consultant,recorded,acknowledgement_late
R-28,1,2026-06-18T00:00,28,55,resident_doctor,not_required,compliant
R-29,2,2026-06-20T12:00,15,240,consultant,not_required,compliant
R-30,2,2026-06-21T10:00,120,481,consultant,missing,acknowledgement_late;escalation_missing
R-31,1,2026-06-20T23:00,35,55,consultant,not_required,notification_late
R-32,2,2026-06-19T17:59,21,3841,consultant,recorded,acknowledgement_late
R-33,2,2026-06-20T08:00,10,490,specialty_registrar,missing,acknowledgement_late;escalation_missing
R-34,2,2026-06-21T09:00,240,480,consultant,not_required,compliant
R-35,1,2026-06-22T09:00,10,,phlebotomist,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-36,1,2026-06-22T23:50,30,60,advanced_nurse_practitioner,not_required,compliant
R-37,2,2026-06-21T08:00,0,479,consultant,not_required,compliant
R-38,2,2026-06-20T08:00,240,480,specialty_registrar,not_required,compliant
R-39,2,2026-06-21T08:00,30,480,consultant,not_required,compliant
R-40,1,2026-06-23T10:00,31,60,resident_doctor,not_required,notification_late
R-41,2,2026-06-22T17:59,31,480,consultant,not_required,compliant
R-42,2,2026-06-24T08:00,1,480,consultant,not_required,compliant
R-43,2,2026-06-24T08:00,30,479,specialty_registrar,not_required,compliant
R-44,1,2026-06-24T14:00,20,60,consultant,not_required,compliant
R-45,1,2026-06-24T14:00,20,61,resident_doctor,missing,acknowledgement_late;escalation_missing
R-46,2,2026-06-24T09:00,240,480,consultant,not_required,compliant
R-47,2,2026-06-24T09:00,241,480,consultant,not_required,notification_late
R-48,1,2026-06-24T10:00,15,45,advanced_nurse_practitioner,not_required,compliant
R-49,2,2026-06-20T17:59,21,3841,consultant,recorded,acknowledgement_late
R-50,1,2026-06-25T00:00,28,59,consultant,not_required,compliant
R-51,1,2026-06-25T23:59,30,60,consultant,not_required,compliant
R-52,1,2026-06-25T15:00,10,,healthcare_assistant,recorded,acknowledgement_late;acknowledger_unapproved
R-53,1,2026-06-25T03:00,35,,pharmacist,missing,notification_late;acknowledgement_late;acknowledger_unapproved;escalation_missing
R-54,2,2026-06-21T17:59,21,481,specialty_registrar,missing,acknowledgement_late;escalation_missing
R-55,2,2026-06-22T08:00,10,481,consultant,missing,acknowledgement_late;escalation_missing
R-56,1,2026-06-25T11:00,15,45,consultant,not_required,compliant
R-57,2,2026-06-27T08:00,0,420,consultant,not_required,compliant
R-58,2,2026-06-27T17:59,31,480,consultant,not_required,compliant
R-59,2,2026-06-28T08:00,240,480,specialty_registrar,not_required,compliant
R-60,2,2026-06-26T10:00,241,479,consultant,not_required,notification_late
R-61,1,2026-06-26T11:00,30,60,advanced_nurse_practitioner,not_required,compliant
R-62,1,2026-06-26T13:00,20,61,resident_doctor,missing,acknowledgement_late;escalation_missing
R-63,2,2026-06-29T08:00,30,481,consultant,missing,acknowledgement_late;escalation_missing
R-64,2,2026-06-26T08:00,240,480,consultant,not_required,compliant
R-65,1,2026-06-26T15:00,10,,physician_associate,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-66,1,2026-06-26T23:50,31,59,consultant,not_required,notification_late
R-67,1,2026-06-30T00:00,30,60,consultant,not_required,compliant
R-68,1,2026-06-30T01:00,30,61,resident_doctor,missing,acknowledgement_late;escalation_missing
R-69,2,2026-07-04T08:00,0,481,consultant,missing,acknowledgement_late;escalation_missing
R-70,2,2026-07-04T08:00,0,480,specialty_registrar,not_required,compliant
R-71,2,2026-06-30T11:00,31,61,consultant,not_required,compliant
R-72,1,2026-06-30T11:00,31,61,consultant,missing,notification_late;acknowledgement_late;escalation_missing
R-73,1,2026-06-30T14:00,10,,nurse_practitioner,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-74,1,2026-06-30T22:00,35,,clinical_fellow,missing,notification_late;acknowledgement_late;acknowledger_unapproved;escalation_missing
R-75,2,2026-07-04T08:00,241,479,consultant,not_required,notification_late
R-76,2,2026-07-05T08:00,240,480,consultant,not_required,compliant
R-77,2,2026-07-01T09:00,241,481,specialty_registrar,missing,notification_late;acknowledgement_late;escalation_missing
R-78,1,2026-06-29T23:30,31,60,consultant,not_required,notification_late
R-79,1,2026-07-01T23:50,31,61,resident_doctor,missing,notification_late;acknowledgement_late;escalation_missing
R-80,1,2026-07-02T09:00,5,,locum_consultant,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-81,1,2026-07-06T10:00,12,,specialty_doctor,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-82,1,2026-07-06T22:00,40,,consultant_on_call,recorded,notification_late;acknowledgement_late;acknowledger_unapproved
R-83,1,2026-07-07T09:00,8,,anp,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-84,1,2026-07-07T15:30,15,,senior_house_officer,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-85,1,2026-07-07T23:10,35,,st_registrar,missing,notification_late;acknowledgement_late;acknowledger_unapproved;escalation_missing
R-86,1,2026-07-08T11:00,120,200,consultant,missing,notification_late;acknowledgement_late;escalation_missing
R-87,2,2026-07-08T13:00,120,200,specialty_registrar,not_required,compliant
R-88,2,2026-07-08T09:30,241,450,consultant,not_required,notification_late
R-89,2,2026-07-12T08:00,0,480,consultant,not_required,compliant
R-90,2,2026-07-12T08:00,0,481,resident_doctor,missing,acknowledgement_late;escalation_missing
R-91,2,2026-07-13T08:00,240,481,consultant,missing,acknowledgement_late;escalation_missing
R-92,2,2026-07-11T08:00,0,479,specialty_registrar,not_required,compliant
R-93,1,2026-07-09T08:00,10,,locum_registrar,recorded,acknowledgement_late;acknowledger_unapproved
R-94,1,2026-07-09T14:00,15,,none,missing,acknowledgement_late;escalation_missing
R-95,2,2026-07-09T10:00,270,,none,recorded,notification_late;acknowledgement_late
R-96,2,2026-07-13T08:00,241,450,consultant,not_required,notification_late
R-97,2,2026-07-13T08:00,240,480,consultant,not_required,compliant
R-98,2,2026-07-14T10:00,31,61,advanced_nurse_practitioner,not_required,compliant
R-99,1,2026-07-14T16:00,31,61,advanced_nurse_practitioner,missing,notification_late;acknowledgement_late;escalation_missing
R-100,2,2026-07-09T08:00,241,481,specialty_registrar,missing,notification_late;acknowledgement_late;escalation_missing
R-101,1,2026-07-15T01:00,40,,clinical_scientist,recorded,notification_late;acknowledgement_late;acknowledger_unapproved
R-102,2,2026-07-09T17:59,31,480,consultant,not_required,compliant
R-103,2,2026-07-10T08:00,0,480,consultant,not_required,compliant
R-104,1,2026-07-15T11:00,20,,staff_grade,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-105,1,2026-07-15T20:00,45,,foundation_doctor,recorded,notification_late;acknowledgement_late;acknowledger_unapproved
R-106,2,2026-07-15T17:30,3870,4110,consultant,missing,notification_late;acknowledgement_late;escalation_missing
R-107,2,2026-07-15T17:30,3870,4110,consultant,missing,notification_late;acknowledgement_late;escalation_missing
R-108,1,2026-07-14T10:00,15,40,SpR,not_required,compliant
R-109,1,2026-07-14T11:00,10,,spr,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-110,2,2026-07-18T08:00,0,480,consultant,not_required,compliant
R-111,2,2026-07-18T08:00,0,481,consultant,missing,acknowledgement_late;escalation_missing
R-112,2,2026-07-15T08:00,0,480,specialty_registrar,not_required,compliant
R-113,2,2026-07-14T16:59,31,480,consultant,not_required,compliant
R-114,2,2026-07-14T09:00,60,180,ANP,not_required,compliant
R-115,1,2026-07-14T15:00,20,50,Cons,not_required,compliant
R-116,2,2026-07-18T08:00,241,420,consultant,not_required,notification_late
R-117,2,2026-07-15T17:45,3795,,nurse_practitioner,recorded,notification_late;acknowledgement_late;acknowledger_unapproved
R-118,2,2026-07-18T08:00,0,479,resident_doctor,not_required,compliant
R-119,2,2026-07-18T09:00,180,420,consultant,not_required,compliant
R-120,1,2026-07-14T12:00,10,,cons,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-121,2,2026-07-14T17:00,930,1380,specialty_registrar,missing,notification_late;acknowledgement_late;escalation_missing
R-122,2,2026-07-18T08:00,0,479,resident_doctor,not_required,compliant
R-123,2,2026-07-15T08:00,120,360,consultant,not_required,compliant
R-124,2,2026-07-15T17:30,990,1230,consultant,missing,notification_late;acknowledgement_late;escalation_missing
R-125,2,2026-07-15T17:30,990,1230,consultant,missing,notification_late;acknowledgement_late;escalation_missing
R-126,2,2026-07-15T08:00,0,480,specialty_registrar,not_required,compliant
R-127,2,2026-07-15T17:00,30,480,consultant,not_required,compliant
R-128,2,2026-07-18T09:00,0,479,resident_doctor,not_required,compliant
R-129,2,2026-07-18T08:00,0,479,resident_doctor,not_required,compliant
R-130,2,2026-07-18T09:00,240,480,consultant,not_required,compliant
R-131,2,2026-07-15T17:20,10,,cons,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-132,2,2026-07-15T17:50,10,,anp,recorded,acknowledgement_late;acknowledger_unapproved
R-133,2,2026-07-18T09:00,0,,anp,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-134,2,2026-07-18T09:00,30,,nurse_practitioner,recorded,acknowledgement_late;acknowledger_unapproved
R-135,2,2026-07-21T09:00,25,50,consultant,not_required,compliant
R-136,2,2026-07-11T08:00,15,30,specialty_registrar,not_required,compliant
R-137,2,2026-07-11T08:00,20,45,consultant,not_required,compliant
R-138,1,2026-07-22T10:00,20,,specialist_registrar,missing,acknowledger_unapproved;acknowledgement_late;escalation_missing
R-139,1,2026-07-22T11:00,15,,advanced_practitioner,missing,acknowledger_unapproved;acknowledgement_late;escalation_missing
