script_id,in_window
SC-01,True
SC-02,True
SC-03,True
SC-04,False
SC-05,True
SC-06,True
SC-07,True
SC-08,True
SC-09,True
SC-10,True
SC-11,True
SC-12,True
SC-13,True
SC-14,False
SC-15,True
SC-16,True
SC-17,True
SC-18,True
SC-19,True
SC-20,True
SC-21,True
SC-22,True
SC-23,True
SC-24,True
SC-25,True
SC-26,True
SC-27,True
SC-28,False
SC-29,True
SC-30,True
SC-31,True
SC-32,True
SC-33,False
SC-34,True
SC-35,True
SC-36,True
SC-37,True
SC-38,True
SC-39,True
SC-40,True
SC-41,True
SC-42,True
SC-43,False
SC-44,True
SC-45,True
SC-46,True
SC-47,True
SC-48,True
SC-49,True
SC-50,True
SC-51,True
SC-52,True
SC-53,True
SC-54,True
SC-55,True
SC-56,True
SC-57,True
SC-58,True
SC-59,True
SC-60,True
SC-61,True
SC-62,True
SC-63,True
SC-64,True
SC-81,True
SC-82,True
SC-83,True
SC-84,True
SC-85,True
SC-86,True
SC-87,True
SC-88,True
SC-89,True
SC-90,True
SC-91,True
SC-92,True
SC-93,True
SC-94,True
SC-95,True
SC-96,True
SC-97,True
SC-98,True
SC-99,True
SC-100,True
SC-101,True
SC-102,True
SC-103,True
SC-104,True
SC-105,True
SC-106,True
SC-107,False
SC-108,True
SC-109,True
SC-110,True
SC-111,True
SC-112,True
SC-113,True
SC-114,True
SC-115,True
SC-116,True
SC-117,True
SC-118,True
SC-119,True
SC-120,True
SC-121,True
SC-122,True
SC-123,True
SC-124,True
SC-125,True
SC-126,True
SC-127,True
SC-128,True
SC-129,False
SC-130,False
SC-131,True
SC-132,True
SC-133,True
SC-134,True
SC-135,False
SC-136,True
SC-137,True
SC-138,True
SC-139,True
SC-140,True
SC-141,True
SC-142,True
SC-143,True
SC-144,True
SC-145,True
SC-146,True
SC-147,True
SC-148,True
SC-149,True
SC-150,True
SC-151,True
SC-152,True
SC-153,True
SC-154,True
SC-155,True
SC-156,True
SC-157,False
SC-158,True
SC-159,True
SC-160,True
SC-161,True
SC-162,True
SC-163,False
SC-164,True
SC-165,True
SC-166,True
SC-167,True
SC-168,True
SC-169,True
SC-170,True
SC-171,True
SC-172,True
SC-173,True
SC-174,True
SC-175,True
SC-176,True
SC-177,True
SC-178,True
SC-179,True
SC-180,True
SC-181,True
SC-182,True
SC-183,True
SC-184,True
SC-185,True
SC-186,True
SC-187,True
SC-188,True
SC-189,True
SC-190,True
SC-191,True
SC-192,True
SC-193,True
SC-194,True
