script_id,clearance_status
SC-01,CLEARED
SC-02,CLEARED
SC-03,CLEARED
SC-04,CLEARED
SC-05,CLEARED
SC-06,CLEARED
SC-07,CLEARED
SC-08,CLEARED
SC-09,CLEARED
SC-10,CLEARED
SC-11,CLEARED
SC-12,CLEARED
SC-13,HOLD
SC-14,CLEARED
SC-15,HOLD
 SC-16 , cleared 
SC-17,CLEARED
SC-18,CLEARED
SC-19,CLEARED
SC-20,CLEARED
SC-21,CLEARED
SC-22,CLEARED
SC-22,hold
SC-23,CLEARED
SC-24,CLEARED
SC-25,CLEARED
SC-26,CLEARED
SC-27,CLEARED
SC-28,CLEARED
SC-29,CLEARED
SC-30,CLEARED
SC-31,CLEARED
SC-32,HOLD
SC-33,CLEARED
SC-34,CLEARED
SC-35,CLEARED
SC-36,HOLD
SC-36,CLEARED
SC-37,CLEARED
SC-38,CLEARED
SC-39,CLEARED
SC-39,HOLD
SC-40,CLEARED
SC-41,CLEARED
SC-41,HOLD
SC-41,CLEARED
SC-42,HOLD
SC-43,CLEARED
SC-44,CLEARED
SC-45,CLEARED
SC-46,CLEARED
SC-47,CLEARED
SC-48,CLEARED
SC-49,CLEARED
SC-50,CLEARED
SC-51,hold
SC-52,CLEARED
SC-53,HOLD
SC-54,CLEARED
SC-55,CLEARED
SC-56,CLEARED
SC-57,CLEARED
SC-58,CLEARED
SC-59,HOLD
SC-60,CLEARED
SC-61,CLEARED
SC-62,CLEARED
SC-63,HOLD
SC-63,CLEARED
SC-63,HOLD
SC-64,CLEARED
SC-81,CLEARED
SC-82,CLEARED
SC-83,CLEARED
SC-84,CLEARED
SC-85,CLEARED
SC-86,CLEARED
SC-86,HOLD
SC-86,CLEARED
SC-87,HOLD
SC-87,CLEARED
SC-87,HOLD
SC-88,CLEARED
SC-89,CLEARED
SC-90,CLEARED
SC-91,CLEARED
SC-92,CLEARED
SC-93,CLEARED
SC-94,CLEARED
SC-95,CLEARED
SC-96,CLEARED
SC-97,CLEARED
SC-98,CLEARED
SC-99,CLEARED
SC-100,CLEARED
SC-101,CLEARED
SC-102,CLEARED
SC-103,HOLD
SC-103,CLEARED
SC-104,CLEARED
SC-104,HOLD
SC-105,CLEARED
SC-106,CLEARED
SC-107,CLEARED
SC-108,CLEARED
SC-109,CLEARED
SC-110,CLEARED
SC-111,CLEARED
SC-112,CLEARED
SC-113,CLEARED
SC-114,CLEARED
SC-115,CLEARED
SC-116,CLEARED
SC-117,CLEARED
SC-118,HOLD
SC-118,CLEARED
SC-118,HOLD
SC-119,CLEARED
SC-120,CLEARED
SC-121,CLEARED
SC-122,CLEARED
SC-123,CLEARED
SC-124,CLEARED
SC-125,CLEARED
SC-126,CLEARED
SC-127,CLEARED
SC-128,CLEARED
SC-129,CLEARED
SC-130,CLEARED
SC-131,CLEARED
SC-132,CLEARED
SC-133,CLEARED
SC-134,CLEARED
SC-135,CLEARED
SC-136,CLEARED
SC-137,CLEARED
SC-138,CLEARED
SC-139,CLEARED
SC-140,CLEARED
SC-141,CLEARED
SC-142,CLEARED
SC-143,CLEARED
SC-144,CLEARED
SC-145,CLEARED
SC-146,CLEARED
SC-147,CLEARED
SC-148,CLEARED
SC-149,CLEARED
SC-150,CLEARED
SC-151,HOLD
SC-152,CLEARED
SC-153,HOLD
SC-154,CLEARED
SC-155,CLEARED
SC-156,CLEARED
SC-157,CLEARED
SC-158,CLEARED
SC-159,CLEARED
SC-160,CLEARED
SC-161,CLEARED
SC-162,HOLD
SC-163,CLEARED
SC-164,CLEARED
SC-165,CLEARED
SC-166,CLEARED
SC-167,CLEARED
SC-168,CLEARED
SC-169,CLEARED
SC-170,CLEARED
SC-171,CLEARED
SC-172,CLEARED
SC-173,CLEARED
SC-174,CLEARED
SC-175,CLEARED
SC-176,CLEARED
SC-177,CLEARED
SC-178,CLEARED
SC-179,CLEARED
SC-180,CLEARED
SC-181,CLEARED
SC-182,CLEARED
SC-183,CLEARED
SC-184,CLEARED
SC-185,CLEARED
SC-186,CLEARED
SC-187,CLEARED
SC-188,CLEARED
SC-189,CLEARED
SC-190,CLEARED
SC-191,CLEARED
SC-192,CLEARED
SC-193,CLEARED
SC-194,CLEARED
SC-195,CLEARED
SC-196,CLEARED
SC-197,CLEARED
SC-198,CLEARED
SC-199,CLEARED
SC-200,CLEARED
SC-201,CLEARED
SC-202,CLEARED
SC-203,CLEARED
SC-204,CLEARED
SC-205,CLEARED
SC-206,CLEARED
SC-207,CLEARED
SC-208,CLEARED
SC-209,CLEARED
SC-210,CLEARED
SC-211,CLEARED
SC-212,CLEARED
SC-213,CLEARED
SC-214,CLEARED
SC-215,CLEARED
SC-216,CLEARED
SC-217,CLEARED
SC-218,CLEARED
SC-219,CLEARED
SC-220,CLEARED
SC-221,hold
SC-222,Hold
SC-223,HOLD 
SC-224, HOLD
SC-225,HoLd
SC-226,cleared
SC-227,Cleared
SC-228,CLEARED 
SC-229, CLEARED
SC-230,PENDING
SC-231,HOLD
SC-232,CLEARED
SC-233,CLEARED
SC-234,CLEARED
SC-235,CLEARED
SC-236,CLEARED
SC-237,CLEARED
SC-238,CLEARED
SC-239,CLEARED
SC-240,CLEARED
SC-241,CLEARED
SC-242,CLEARED
SC-243,HOLD
SC-244,CLEARED
SC-245,CLEARED
SC-246,CLEARED
SC-247,CLEARED
SC-248,CLEARED
SC-249,CLEARED
SC-250,CLEARED
SC-251,CLEARED
SC-252,CLEARED
SC-253,CLEARED
SC-254,CLEARED
SC-255,CLEARED
SC-256,CLEARED
SC-257,CLEARED
SC-258,CLEARED
SC-259,CLEARED
SC-260,CLEARED
SC-261,CLEARED
SC-262,CLEARED
SC-263,CLEARED
SC-264,CLEARED
SC-265,CLEARED
SC-266,CLEARED
SC-267,CLEARED
SC-268,CLEARED
SC-269,CLEARED
SC-270,CLEARED
SC-271,CLEARED
SC-272,CLEARED
SC-273,CLEARED
SC-274,CLEARED
SC-275,CLEARED
SC-276,CLEARED
SC-277,CLEARED
SC-278,CLEARED
SC-279,CLEARED
SC-280,CLEARED
SC-281,CLEARED
SC-282,CLEARED
SC-283,CLEARED
