script_id,is_verbatim_testimony,uses_negation_pivot,has_scripture_ref,scripture_cited,runtime_minutes,opening_line,body_excerpt,scripture_text
SC-01,False,False,True,True,10,We gather tonight to celebrate what God has already begun among us.,The board packet is light; gratitude is the point of this cold open.,Genesis 1:1
SC-02,False,True,False,False,7,That's not a delay. It's a divine appointment.,We move from calendar anxiety into trust without changing the run of show.,
SC-03,False,False,True,False,5,The word reminds us that love is patient and kind when the room gets loud.,No chapter-verse was locked in the teleprompter notes for that allusion.,
SC-04,False,False,False,False,6,Tonight we walk through three decisions our board will face this quarter.,Keep the tone procedural; no personal testimony block in this segment.,
SC-05,True,True,True,True,6,It's not the end of my story. It's the chapter where mercy showed up.,I am reading my own words into the brief exactly as I spoke them last spring.,Genesis 3:15
SC-06,False,True,True,False,9,That's not failure. It's formation — and the text we opened still stands.,Producer flagged scripture but left the citation blank in the rundown.,
SC-07,False,False,True,True,8,We hold to the promise written in Romans 8:28 as we plan the next season.,Standard closer; citation already on the lower-third package.,Exodus 20:3
SC-08,True,True,True,False,5,It's not luck that carried me. It's the grace I keep naming out loud.,Testimony block still missing book-chapter-verse in the cite field.,
SC-09,False,True,True,True,4,"Friends, we are here to thank the teams who carried this year with quiet faithfulness.",Housekeeping thank-yous for the teams who carried quiet faithfulness this year.,Psalms 23:1
SC-10,False,False,False,False,7,Keep your eyes on the next hire and the next campus conversation.,It's not a setback. It's a setup for the work ahead of us.,
SC-11,True,False,False,False,11,We open with a guest voice from last month's baptism night.,That's not hype. It's what she actually said when the mic came down.,
SC-12,False,False,True,True,11,Extended format walkthrough of the capital plan milestones.,Romans 12:1 anchors the stewardship frame; citation locked.,Psalms 91:1
SC-13,False,True,False,False,5,Welcome to a quiet housekeeping brief.,A short list of facility notes and volunteer swaps for the week.,
SC-14,False,False,True,False,13,Capital Sunday preview for the extended teaching block.,Uncited allusion sits in the second act; timed long on purpose.,
SC-15,True,True,True,True,3,It's not the platform that changed me. It's the people who stayed.,Short testimony with citation present before clearance review.,Psalms 51:10
 SC-16 ,False,False,False,False,6,A calm thank-you to the volunteers who stayed late.,A calm thank-you to the volunteers who stayed late after the service.,
SC-17,False,False,False,False,6,That's not noise. It's the sound of a room learning to listen.,The room settles as people learn to listen before the next agenda item.,
SC-18,False,False,False,False,12,Extended capital walkthrough continues without a pivot.,Milestone walkthrough continues with budget slides and campus maps.,
SC-19,False,False,True,False,6,We lean on a familiar promise without locking the cite.,A familiar promise is named without a locked chapter-verse on the lower third.,
