script_id,timed_minutes
SC-01,6
SC-02,7
SC-03,5
SC-04,10
SC-05,6
SC-06,3
SC-07,8
SC-08,5
SC-09,6
SC-10,7
SC-11,11
SC-12,11
SC-13,5
SC-14,13
SC-15,3
SC-16,6
SC-17,6
SC-18,12
SC-19,6
SC-20,6
SC-21,08
SC-22,5
SC-23,6
SC-24,6
SC-25,4
SC-26,6
SC-27,6
SC-28,6
SC-29,6
SC-30,9
SC-31,7
SC-32,6
SC-33,6
SC-34,8.5
SC-35,6
SC-36,7
SC-37,6
SC-38,6
SC-39,7
SC-40,6
SC-41,6
SC-42,6
SC-43,6
SC-44,8
SC-45,6
SC-46,6
SC-47,6
SC-48,6
SC-49,6
SC-50,5
SC-51,6
SC-52,6
SC-53,6
SC-54,6
SC-55,7
SC-56,6
SC-57,9
SC-58,6
SC-59,6
SC-60,6
SC-61,11
SC-62,6
SC-63,6
SC-64,6
SC-81,6
SC-82,7
SC-83,6
SC-84,6
SC-85,6
SC-86,6
SC-87,6
SC-88,9
SC-89,5
SC-90,12
SC-91,6
SC-92,6
SC-93,6
SC-94,6
SC-95,6
SC-96,8
SC-97,5
SC-98,10
SC-99,5
SC-100,7
SC-101,6
SC-102,6
SC-103,6
SC-104,6
SC-105,6
SC-106,6
SC-107,6
SC-108,6
SC-109,6
SC-109,9
SC-110,9
SC-110,6
SC-111,6
SC-112,6
SC-113,5
SC-114,5
SC-115,6
SC-116,6
SC-117,6
SC-118,6
SC-119,6
SC-120,6
SC-121,6
SC-122,6
SC-123,6
SC-124,6
SC-125,6
SC-126,6
SC-127,6
SC-128,6
SC-129,6
SC-130,6
SC-131,6
SC-132,6
SC-133,6
SC-134,6
SC-135,6
SC-136,6
SC-137,6
SC-138,6
SC-139,6
SC-140,6
SC-141,6
SC-142,6
SC-143,6
SC-144,6
SC-145,6
SC-146,6
SC-147,6
SC-148,6
SC-149,6
SC-150,6
SC-151,6
SC-152,6
SC-153,6
SC-154,6
SC-155,9
SC-156,6
SC-157,6
SC-158,9
SC-159,6
SC-160,9
SC-161,9
SC-162,9
SC-163,9
SC-164,9
SC-165,9
SC-166,6
SC-167,6
SC-168,6
SC-169,6
SC-170,6
SC-171,6
SC-172,6
SC-173,6
SC-174,6
SC-175,6
SC-176,6
SC-177,6
SC-178,6
SC-179,6
SC-180,6
SC-181,6
SC-182,6
SC-183,6
SC-184,6
SC-185,6
SC-186,6
SC-187,6
SC-188,6
SC-189,6
SC-190,6
SC-191,6
SC-192,6
SC-193,6
SC-194,6
SC-195,6
SC-196,6
SC-197,6
SC-198,6
SC-199,6
SC-200,6
SC-201,8
SC-202,7
SC-203,4
SC-204,3
SC-205,5
SC-206,6
SC-207,10
SC-208,11
SC-209,8
SC-210,8
SC-211,10
SC-212,5
SC-213,5
SC-214,6
SC-215,9
SC-216,9
SC-217,08
SC-218,+7
SC-219,8.0
SC-220,7.0
SC-221,6
SC-222,6
SC-223,6
SC-224,6
SC-225,6
SC-226,6
SC-227,6
SC-228,6
SC-229,6
SC-230,6
