placement_id,channel_id,planned_week,ran_week,placement_status,offer_type
PL-30001,CH-30,W1,W1,ran,rep_test
PL-30002,CH-30,W2,W2,ran,rep_test
PL-1001,CH-01,W1,W1,ran,editorial_pitch
PL-1002,CH-01,W2,W2,ran,editorial_pitch
PL-1003,CH-01,W4,W4,ran,editorial_pitch
PL-2001,CH-02,W1,W1,ran,blog_feature
PL-2002,CH-02,W2,W2,ran,blog_feature
PL-2003,CH-02,W4,W4,ran,blog_feature
PL-2004,CH-02,W4,W4,ran,blog_feature
PL-2005,CH-02,W5,W6,ran,blog_feature
PL-3001,CH-03,W1,W1,ran,radio_spin
PL-3002,CH-03,W2,W2,ran,radio_spin
PL-3003,CH-03,W4,W4,ran,radio_spin
PL-3004,CH-03,W4,,cancelled,radio_spin
PL-4001,CH-04,W1,W1,ran,curator_submission
PL-4002,CH-04,W1,W1,ran,curator_submission
PL-4003,CH-04,W2,W4,ran,curator_submission
PL-4004,CH-04,W4,W4,ran,curator_submission
PL-4005,CH-04,W4,W4,ran,curator_submission
PL-4006,CH-04,W5,W5,ran,curator_submission
PL-5001,CH-05,W1,W1,ran,creator_post
PL-5002,CH-05,W1,W1,ran,creator_post
PL-5003,CH-05,W2,W2,ran,creator_post
PL-5004,CH-05,W2,W2,ran,creator_post
PL-5005,CH-05,W4,W4,ran,creator_post
PL-5006,CH-05,W4,W4,ran,creator_post
PL-5007,CH-05,W4,W4,ran,creator_post
PL-5008,CH-05,W5,W5,ran,creator_post
PL-5009,CH-05,W4,W4,ran,guaranteed_streams
PL-6001,CH-06,W1,W1,ran,newsletter_swap
PL-6002,CH-06,W2,W2,ran,newsletter_swap
PL-6003,CH-06,W4,W4,ran,newsletter_swap
PL-6004,CH-06,W4,W4,ran,newsletter_swap
PL-6005,CH-06,W5,W5,ran,newsletter_swap
PL-7001,CH-07,W1,W1,ran,podcast_insertion
PL-7002,CH-07,W2,W2,ran,podcast_insertion
PL-7003,CH-07,W4,W4,ran,podcast_insertion
PL-8001,CH-08,W1,W1,ran,influencer_story
PL-8002,CH-08,W2,W2,ran,influencer_story
PL-8003,CH-08,W4,W4,ran,influencer_story
PL-8004,CH-08,W4,W4,ran,influencer_story
PL-9001,CH-09,W1,W2,ran,playlist_seed
PL-9002,CH-09,W2,W4,ran,playlist_seed
PL-10001,CH-10,W1,W1,ran,street_team
PL-10002,CH-10,W2,W2,ran,street_team
PL-10003,CH-10,W4,,cancelled,street_team
PL-11001,CH-11,W1,W1,ran,playlist_seed
PL-11002,CH-11,W4,,cancelled,playlist_seed
PL-12001,CH-12,W1,W1,ran,sync_pitch
PL-12002,CH-12,W2,W2,ran,sync_pitch
PL-12003,CH-12,W4,W4,ran,guaranteed_streams
PL-13001,CH-13,W1,W1,ran,sync_pitch
PL-13002,CH-13,W2,W2,ran,sync_pitch
PL-13003,CH-13,W4,W4,ran,sync_pitch
PL-14001,CH-14,W1,W1,ran,playlist_seed
PL-14002,CH-14,W1,W1,ran,playlist_seed
