channel_id,counted_placements,placements_effect_streams,conversion_effect_streams,residual_reach_effect_streams,shortfall_to_target_streams
CH-30,2,0,0,0.0,0
CH-01,3,0,2209,7411.0,9620
CH-02,4,1800,297,808.0,2905
CH-03,3,900,122,203.0,1225
CH-04,6,0,3245,695.0,3940
CH-05,8,0,6873,567.0,7440
CH-06,5,-1845,2141,-1866.0,-1570
CH-07,3,0,-157,-53.0,-210
CH-08,4,0,-590,6190.0,5600
CH-09,2,0,-686,686.0,0
CH-10,2,2000,800,400.0,3200
CH-11,1,4999,1498,-1508.0,4989
CH-12,2,4800,310,390.0,5500
CH-13,3,0,-1259,6759.0,5500
CH-14,3,-1355,100,1364.0,109
CH-15,2,2000,392,-1792.0,600
CH-16,0,12000,0,-500.0,11500
CH-17,2,0,120,-120.0,0
CH-18,2,0,-240,640.0,400
CH-19,2,0,185,315.0,500
CH-20,3,-2000,5100,1400.0,4500
CH-21,2,0,50,3150.0,3200
CH-22,2,0,100,1800.0,1900
CH-23,2,0,500,200.0,700
CH-24,3,-1200,20,280.0,-900
CH-25,2,0,20,880.0,900
CH-26,1,1800,115,-1215.0,700
CH-27,2,0,50,2500.0,2550
CH-28,2,0,160,640.0,800
CH-29,1,2000,0,-1000.0,1000
CH-31,2,0,-902,2000.0,1098
CH-32,2,0,400,2000.0,2400
CH-33,2,0,-12,112.0,100
CH-34,2,0,75,675.0,750
CH-35,2,0,225,1575.0,1800
CH-36,1,0,0,0.0,0
CH-37,2,0,2201,600.0,2801
CH-38,2,0,1599,400.0,1999
CH-39,2,0,6900,-6201.0,699
CH-41,1,0,0,1.0,1
CH-42,2,0,2024,-324.0,1700
CH-43,2,0,350,450.0,800
CH-44,2,0,200,1800.0,2000
CH-45,0,4000,0,-400.0,3600
CH-76,2,0,-90,990.0,900
CH-77,2,0,-520,1420.0,900
CH-78,2,0,-837,1737.0,900
CH-79,3,0,-737,2837.0,2100
CH-80,2,0,1200,-300.0,900
