ledger_ref,channel_id,campaign_week,placement_id,delivered_reach,delivered_streams
LG-30001,CH-30,W1,PL-30001,100001,100
LG-30002,CH-30,W2,PL-30002,100000,100
LG-101,CH-01,W1,PL-1001,215000,9800
LG-102,CH-01,W2,PL-1002,148000,5900
LG-103,CH-01,W3,,36000,1450
LG-104,CH-01,W4,PL-1003,121000,4700
LG-105,CH-01,W4,,0,-1240
LG-106,CH-01,W5,,27500,980
LG-201,CH-02,W1,PL-2001,38000,1620
LG-202,CH-02,W2,PL-2002,41500,1780
LG-203,CH-02,W4,PL-2003,33000,1290
LG-204,CH-02,W4,PL-2004,36500,1405
LG-205,CH-02,W6,PL-2005,31000,1120
LG-301,CH-03,W1,PL-3001,31500,880
LG-302,CH-03,W2,PL-3002,28200,790
LG-303,CH-03,W4,PL-3003,26150,705
LG-401,CH-04,W1,PL-4001,62000,1820
LG-402,CH-04,W1,PL-4002,55000,1510
LG-403,CH-04,W2,PL-4004,48000,1105
LG-404,CH-04,W2,PL-4005,41000,960
LG-405,CH-04,W2,PL-4003,52000,1180
LG-406,CH-04,W2,PL-4006,42000,885
LG-501,CH-05,W1,PL-5001,88000,3900
LG-502,CH-05,W1,PL-5002,71000,2950
LG-503,CH-05,W2,PL-5003,95000,4100
LG-504,CH-05,W2,PL-5004,63000,2480
LG-505,CH-05,W4,PL-5005,78000,3260
LG-506,CH-05,W4,PL-5009,40000,6200
LG-507,CH-05,W4,PL-5006,84000,3410
LG-508,CH-05,W4,PL-5007,69000,2690
LG-509,CH-05,W5,PL-5008,57000,2210
LG-510,CH-05,W5,,15000,560
LG-601,CH-06,W1,PL-6001,46000,1980
LG-602,CH-06,W2,PL-6002,44500,1890
LG-603,CH-06,W4,PL-6003,41000,1705
LG-604,CH-06,W4,PL-6004,39500,1620
LG-605,CH-06,W5,PL-6005,43000,1755
LG-606,CH-06,W6,,21000,880
LG-701,CH-07,W1,PL-7001,58000,2700
LG-702,CH-07,W2,PL-7002,52000,2400
LG-703,CH-07,W4,PL-7003,61000,2900
LG-704,CH-07,W4,PL-7999,18000,850
LG-801,CH-08,W1,PL-8001,82000,4200
LG-802,CH-08,W2,PL-8002,75000,3800
LG-803,CH-08,W4,PL-8003,88000,4400
LG-901,CH-09,W2,PL-9001,115000,8200
LG-902,CH-09,W4,PL-9002,108000,7400
LG-903,CH-09,W5,,20000,1200
LG-1001,CH-10,W1,PL-10001,48000,1800
LG-1002,CH-10,W2,PL-10002,42000,1600
LG-1003,CH-10,W4,PL-10001,0,0
LG-1004,CH-10,W4,,0,-600
LG-11001,CH-11,W1,PL-11001,100100,5008
LG-12001,CH-12,W1,PL-12001,72000,4100
LG-12002,CH-12,W2,PL-12002,68000,3900
LG-12003,CH-12,W4,PL-12003,50000,8000
LG-12004,CH-12,W4,,15000,900
LG-1301,CH-13,W1,PL-13001,25000,1800
LG-1302,CH-13,W2,PL-13002,25000,1700
