channel_id,counted_placements,placements_effect_streams,conversion_effect_streams,residual_reach_effect_streams,shortfall_to_target_streams
CH-30,2,0,0,0,0
CH-01,3,0,11573,-1953,9620
CH-02,4,1800,610,495,2905
CH-03,3,900,200,125,1225
CH-04,6,0,3940,0,3940
CH-05,8,0,8540,-1100,7440
CH-06,5,-1845,-176,451,-1570
CH-07,3,0,222,-432,-210
CH-08,4,0,-150,5750,5600
CH-09,2,0,210,-210,0
CH-10,2,2000,800,400,3200
CH-11,1,4999,1498,-1508,4989
CH-12,2,4800,400,300,5500
CH-13,3,0,-1498,6998,5500
CH-14,3,-1355,100,1364,109
CH-15,2,2000,600,-2000,600
CH-16,0,12000,0,-500,11500
CH-17,2,0,200,-200,0
CH-18,2,0,50,350,400
CH-19,2,0,185,315,500
CH-20,3,-2000,5100,1400,4500
CH-21,2,0,50,3150,3200
CH-22,2,0,100,1800,1900
CH-23,2,0,500,200,700
CH-24,3,-1200,20,280,-900
CH-25,2,0,20,880,900
CH-26,1,1800,115,-1215,700
CH-27,2,0,50,2500,2550
CH-28,2,0,200,600,800
CH-29,1,2000,0,-1000,1000
CH-31,2,0,-902,2000,1098
CH-32,2,0,400,2000,2400
CH-33,2,0,100,200,300
CH-34,2,0,300,450,750
CH-35,2,0,225,1575,1800
CH-37,2,0,2201,600,2801
CH-38,2,0,1599,400,1999
CH-39,2,0,500,-1,499
CH-42,2,0,2125,-225,1900
CH-44,2,0,200,1800,2000
CH-45,0,4000,0,-400,3600
CH-46,2,0,-80,680,600
CH-47,2,0,-15,1215,1200
CH-48,2,0,20,1200,1220
