channel_id,counted_placements,placements_effect_streams,conversion_effect_streams,residual_reach_effect_streams,shortfall_to_target_streams
CH-30,2,0,0,0,0
CH-01,3,0,10652,-1032,9620
CH-02,4,1800,297,808,2905
CH-03,3,900,122,203,1225
CH-04,6,0,3940,0,3940
CH-05,8,0,6873,567,7440
CH-06,5,-1845,-682,957,-1570
CH-07,3,0,-157,-53,-210
CH-08,4,0,-590,6190,5600
CH-09,2,0,0,0,0
CH-10,2,2000,800,400,3200
CH-11,1,4999,1498,-1508,4989
CH-12,2,4800,310,390,5500
CH-13,3,0,-1599,7099,5500
CH-14,3,-1355,100,1364,109
CH-15,2,2000,392,-1792,600
CH-16,0,12000,0,-500,11500
CH-17,2,0,0,0,0
CH-18,2,0,-240,640,400
CH-19,2,0,185,315,500
CH-20,3,-2000,5100,1400,4500
CH-21,2,0,50,3150,3200
CH-22,2,0,100,1800,1900
CH-23,2,0,500,200,700
CH-24,3,-1200,20,280,-900
CH-25,2,0,20,880,900
CH-26,1,1800,115,-1215,700
CH-27,2,0,50,2500,2550
CH-28,2,0,160,640,800
CH-29,1,2000,0,-1000,1000
CH-31,2,0,-902,2000,1098
CH-32,2,0,400,2000,2400
CH-33,2,0,100,200,300
CH-34,2,0,75,675,750
CH-35,2,0,225,1575,1800
CH-37,2,0,2201,600,2801
CH-38,2,0,1599,400,1999
CH-39,2,0,500,-1,499
CH-42,2,0,2125,-225,1900
CH-44,2,0,200,1800,2000
CH-45,0,4000,0,-400,3600
CH-46,2,0,-232,832,600
CH-47,2,0,-15,1215,1200
CH-48,2,0,-52,1272,1220
CH-49,2,0,10,3390,3400
CH-50,2,1800,425,675,2900
CH-51,2,0,128,1372,1500
CH-52,2,0,320,1680,2000
CH-53,2,0,-1001,2000,999
CH-54,2,0,-160,2060,1900
CH-55,2,0,200,1800,2000
CH-56,2,0,-1650,2250,600
CH-57,2,0,0,0,0
CH-58,2,0,-700,-800,-1500
CH-59,3,0,-222,1322,1100
CH-60,2,0,100,400,500
CH-61,4,0,147,2153,2300
CH-62,2,2000,600,-1400,1200
CH-63,1,123,1,0,124
CH-64,1,133,1,0,134
CH-65,1,143,1,0,144
CH-66,1,153,1,0,154
CH-67,1,127,-173,0,-46
CH-68,1,137,-163,0,-26
CH-69,1,147,-153,0,-6
CH-70,1,157,-163,0,-6
CH-71,1,0,1,13,14
CH-72,1,0,3,13,16
CH-73,1,0,5,13,18
CH-74,1,0,7,13,20
CH-75,2,0,200,200,400
