table_name,size_class,bloat_ratio,finding
T-13,large,0.5,AUTOVACUUM_DISABLED
T-17,large,0.4,AUTOVACUUM_DISABLED
T-27,large,0.38,BLOAT_THRESHOLD_EXCEEDED
T-04,large,0.1,STALE_STATISTICS
T-21,large,0.2,AUTOVACUUM_DISABLED
T-26,large,0.18,BLOAT_THRESHOLD_EXCEEDED
T-30,large,0.2,BLOAT_THRESHOLD_EXCEEDED
T-36,large,0.18,BLOAT_THRESHOLD_EXCEEDED
T-40,large,0.05,STALE_STATISTICS
T-42,large,0.2,BLOAT_THRESHOLD_EXCEEDED
T-45,large,0.16,BLOAT_THRESHOLD_EXCEEDED
T-10,large,0.21,STALE_STATISTICS
T-16,large,0.2,BLOAT_THRESHOLD_EXCEEDED
T-09,large,0.19,none
T-07,large,0.12,none
T-15,large,0.2,none
T-12,large,0.2,none
T-19,large,0.41,BLOAT_THRESHOLD_EXCEEDED
T-01,large,0.1,none
T-06,large,0.25,BLOAT_THRESHOLD_EXCEEDED
T-14,large,0.4,BLOAT_THRESHOLD_EXCEEDED
T-18,large,0.21,BLOAT_THRESHOLD_EXCEEDED
T-20,large,0.1,AUTOVACUUM_DISABLED
T-28,large,0.25,none
T-29,large,0.25,BLOAT_THRESHOLD_EXCEEDED
T-31,small,0.3,none
T-32,small,0.4,none
T-33,small,0.21,none
T-34,large,0.2,none
T-35,large,0.22,BLOAT_THRESHOLD_EXCEEDED
T-37,large,0.25,BLOAT_THRESHOLD_EXCEEDED
T-38,small,0.33,none
T-39,large,0.05,AUTOVACUUM_DISABLED
T-41,small,0.4,none
T-43,small,0.21,none
T-44,large,0.83,BLOAT_THRESHOLD_EXCEEDED
T-08,large,0.45,BLOAT_THRESHOLD_EXCEEDED
T-02,large,0.35,BLOAT_THRESHOLD_EXCEEDED
T-03,large,0.15,AUTOVACUUM_DISABLED
T-05,large,0.55,BLOAT_THRESHOLD_EXCEEDED
T-11,large,0.41,AUTOVACUUM_DISABLED
