table_name,size_class,bloat_ratio,finding
T-01,large,0.1,none
T-02,large,0.35,BLOAT_THRESHOLD_EXCEEDED
T-03,small,0.15,AUTOVACUUM_DISABLED
T-04,small,0.1,STALE_STATISTICS
T-05,large,0.55,none
T-06,small,0.25,none
T-07,large,0.12,none
T-08,small,0.45,BLOAT_THRESHOLD_EXCEEDED
T-09,large,0.19,none
T-10,large,0.21,STALE_STATISTICS
T-11,small,0.41,AUTOVACUUM_DISABLED
T-12,large,0.20,none
T-13,small,0.40,none
T-14,large,0.55,STALE_STATISTICS
T-15,small,0.10,AUTOVACUUM_DISABLED
T-16,small,0.25,none
T-17,small,0.45,BLOAT_THRESHOLD_EXCEEDED
