run_id,job_name,run_date,source_used,reported_row_count
RUN-01,weekly-journal-brief,2026-06-29,archive,412
RUN-02,weekly-journal-brief,2026-07-13,live,388
RUN-03,monthly-report,2026-08-03,,0
RUN-04,week-ahead-briefing,2026-07-20,archive,470
RUN-05,weekly-journal-brief,2026-07-06,archive,305
RUN-06,weekly-journal-brief,2026-07-07,archive,401
RUN-07,week-ahead-briefing,2026-07-06,live,350
RUN-08,monthly-report,2026-09-07,live,520
RUN-09,weekly-journal-brief,2026-07-05,live,290
RUN-10,week-ahead-briefing,2026-07-07,live,445
