stratum,block_id,subjects,active,control,block_status
S1,B1,7,5,2,not_assessed
S1,B10,8,3,5,not_assessed
S1,B2,7,6,1,not_assessed
S1,B20,7,2,5,not_assessed
S1,B23,4,2,2,not_assessed
S1,B3,6,5,1,within_tolerance
S1,B30,5,4,1,not_assessed
S1,B31,7,5,2,not_assessed
S1,B32,6,4,2,within_tolerance
S1,B33,6,4,2,within_tolerance
S1,B34,6,4,2,within_tolerance
S2,B11,3,3,0,not_assessed
S2,B14,6,3,3,within_tolerance
S2,B21,6,6,0,outside_tolerance
S2,B24,7,4,3,not_assessed
S2,B30,6,5,1,within_tolerance
S2,B31,6,5,1,within_tolerance
S2,B32,6,4,2,within_tolerance
S2,B33,6,5,1,within_tolerance
S2,B34,6,4,2,within_tolerance
S2,B4,7,2,5,not_assessed
S2,B5,8,7,1,not_assessed
S2,B6,6,4,2,within_tolerance
S3,B12,6,2,4,outside_tolerance
S3,B13,6,6,0,outside_tolerance
S3,B22,6,3,3,within_tolerance
S3,B30,7,4,3,not_assessed
S3,B31,6,3,3,within_tolerance
S3,B32,6,3,3,within_tolerance
S3,B33,2,1,1,not_assessed
S3,B7,9,5,4,not_assessed
S3,B8,6,2,4,outside_tolerance
S3,B9,6,5,1,within_tolerance
