result_id,escalated_at
R-03,2026-06-15T15:05
R-06,2026-06-15T17:10
R-10,2026-06-15T18:30
R-15,2026-06-16T01:00
R-17,2026-06-16T10:00
R-22,2026-06-17T15:05
R-24,2026-06-17T19:10
R-27,2026-06-18T02:10
R-32,2026-06-22T10:30
R-49,2026-06-23T10:30
R-52,2026-06-25T16:10
R-56,2026-06-25T12:00
R-71,2026-06-26T11:10
R-73,2026-06-26T16:10
R-83,2026-06-26T11:40
R-84,2026-06-26T11:10
R-90,2026-06-29T10:30
R-96,2026-06-26T13:07
R-97,2026-06-26T13:07
R-100,2026-06-26T14:08
R-101,2026-06-26T14:08
R-104,2026-06-26T15:09
R-105,2026-06-26T15:09
R-108,2026-06-26T16:10
R-109,2026-06-26T16:10
R-112,2026-06-26T17:11
R-113,2026-06-26T17:11
R-116,2026-06-26T16:07
R-117,2026-06-26T16:07
R-120,2026-06-26T17:08
R-121,2026-06-26T17:08
R-124,2026-06-26T18:09
R-125,2026-06-26T18:09
R-128,2026-06-26T19:10
R-129,2026-06-26T19:10
R-132,2026-06-26T20:11
R-133,2026-06-26T20:11
R-135,2026-06-26T11:40
R-138,2026-06-26T11:40
R-141,2026-06-26T11:40
R-144,2026-06-26T11:40
R-147,2026-06-26T11:40
R-150,2026-06-26T11:40
R-153,2026-06-26T11:40
R-162,2026-06-26T11:30
R-165,2026-06-26T21:20
R-168,2026-06-26T17:30
R-171,2026-06-27T03:20
R-202,2026-06-26T11:11
R-204,2026-06-28T13:17
R-206,2026-06-30T15:23
R-208,2026-06-30T17:29
R-210,2026-06-30T19:35
R-212,2026-06-26T11:40
R-214,2026-06-26T11:40
R-215,2026-06-26T18:40
R-217,2026-06-26T18:40
R-219,2026-06-26T11:40
R-221,2026-06-26T18:40
R-235,2026-06-26T16:30
R-237,2026-06-26T16:30
R-239,2026-06-26T16:30
R-241,2026-06-26T16:30
R-243,2026-06-26T16:30
R-252,2026-06-27T01:10
R-254,2026-06-27T03:10
R-256,2026-06-27T05:10
R-259,2026-06-28T18:35
R-265,2026-06-29T12:41
R-268,2026-06-27T17:00
R-269,2026-06-29T16:11
R-274,2026-06-29T16:11
R-276,2026-06-30T06:30
R-278,2026-06-27T04:45
R-280,2026-06-29T23:41
R-283,2026-06-27T16:11
R-284,2026-06-28T16:20
R-289,2026-06-26T11:40
R-292,2026-06-26T16:30
R-295,2026-06-26T11:40
R-298,2026-06-26T16:30
R-301,2026-06-26T11:40
R-304,2026-06-26T16:30
R-307,2026-06-26T11:40
R-310,2026-06-26T16:30
R-313,2026-06-26T11:40
R-316,2026-06-26T16:30
R-319,2026-06-26T11:40
R-322,2026-06-26T16:30
R-325,2026-06-26T11:40
R-328,2026-06-26T16:30
R-329,2026-06-26T11:20
R-331,2026-06-26T11:20
R-333,2026-06-26T11:40
R-335,2026-06-26T11:40
R-337,2026-06-26T11:20
R-338,2026-06-26T16:20
R-340,2026-06-26T16:20
R-342,2026-06-26T16:40
R-344,2026-06-26T16:40
R-346,2026-06-26T16:20
R-349,2026-06-27T01:10
R-351,2026-06-27T01:10
R-355,2026-06-26T16:11
R-358,2026-06-26T16:30
R-361,2026-06-27T16:11
R-364,2026-06-27T16:11
R-367,2026-06-27T16:11
R-370,2026-06-28T16:11
R-373,2026-06-29T16:11
R-376,2026-06-27T02:10
R-378,2026-06-26T11:10
R-381,2026-06-26T11:10
R-384,2026-06-26T11:10
R-387,2026-06-26T11:10
R-390,2026-06-26T12:00
R-392,2026-06-26T12:00
R-394,2026-06-26T10:00
R-396,2026-06-26T10:00
R-419,2026-07-01T17:08
R-420,2026-07-01T16:34
R-428,2026-07-01T16:56
R-444,2026-07-03T16:50
R-448,2026-07-03T16:11
R-454,2026-07-02T14:05
R-470,2026-07-03T15:32
R-477,2026-07-03T20:16
R-482,2026-07-03T16:20
R-485,2026-07-03T18:35
R-488,2026-07-03T16:36
R-492,2026-07-03T03:21
R-501,2026-07-04T07:20
R-508,2026-07-04T21:26
R-516,2026-07-04T14:29
R-528,2026-07-04T16:11
R-529,2026-07-04T16:50
R-535,2026-07-05T09:50
R-544,2026-07-05T11:05
R-547,2026-07-05T22:20
R-565,2026-07-07T16:20
R-567,2026-07-06T15:11
R-570,2026-07-07T00:56
R-579,2026-07-06T19:36
R-584,2026-07-06T16:11
R-586,2026-07-06T10:41
R-588,2026-07-06T17:35
R-589,2026-07-06T01:35
R-590,2026-07-08T01:08
R-604,2026-07-08T16:53
