result_id,tier,clock_start,notification_minutes,acknowledgement_minutes,acknowledged_by_role,escalation_status,findings
R-01,1,2026-06-15T09:00,20,45,consultant,not_required,compliant
R-02,1,2026-06-15T22:10,45,55,specialty_registrar,not_required,notification_late
R-03,1,2026-06-15T14:00,10,80,consultant,recorded,acknowledgement_late
R-04,1,2026-06-16T03:00,15,90,resident_doctor,missing,acknowledgement_late;escalation_missing
R-05,1,2026-06-15T11:00,25,60,consultant,not_required,compliant
R-06,1,2026-06-15T16:00,5,,ward_clerk,recorded,acknowledgement_late;acknowledger_unapproved
R-07,2,2026-06-15T09:00,180,390,specialty_registrar,not_required,compliant
R-08,2,2026-06-16T08:00,120,360,consultant,not_required,compliant
R-09,2,2026-06-15T08:30,300,390,consultant,not_required,notification_late
R-10,2,2026-06-15T10:00,60,,,recorded,acknowledgement_late
R-11,2,2026-06-16T08:00,90,240,specialty_registrar,not_required,compliant
R-12,1,2026-06-16T06:00,20,50,consultant,not_required,compliant
R-13,1,2026-06-15T21:00,50,90,consultant,missing,acknowledgement_late;escalation_missing;notification_late
R-14,2,2026-06-17T08:00,120,480,consultant,not_required,compliant
R-15,2,2026-06-15T16:00,240,510,consultant,recorded,acknowledgement_late
R-16,2,2026-06-15T17:59,931,1081,consultant,missing,acknowledgement_late;escalation_missing;notification_late
R-17,1,2026-06-16T09:00,20,50,consultant,not_required,compliant
R-18,2,2026-06-17T08:00,10,240,consultant,not_required,compliant
R-19,2,2026-06-17T08:00,30,360,specialty_registrar,not_required,compliant
R-20,2,2026-06-18T08:00,120,420,consultant,not_required,compliant
R-21,1,2026-06-17T23:59,36,71,consultant,missing,acknowledgement_late;escalation_missing;notification_late
R-22,1,2026-06-17T14:00,15,,nurse_hca,recorded,acknowledgement_late;acknowledger_unapproved
R-23,2,2026-06-17T10:00,240,480,consultant,not_required,compliant
R-24,2,2026-06-17T11:00,120,481,consultant,recorded,acknowledgement_late
R-25,1,2026-06-17T15:00,30,60,consultant,not_required,compliant
R-26,1,2026-06-17T16:00,31,60,consultant,not_required,notification_late
R-27,2,2026-06-17T17:59,31,481,consultant,recorded,acknowledgement_late
R-28,1,2026-06-18T00:00,28,55,resident_doctor,not_required,compliant
R-29,2,2026-06-20T12:00,15,240,consultant,not_required,compliant
R-30,2,2026-06-21T10:00,120,481,consultant,missing,acknowledgement_late;escalation_missing
R-31,1,2026-06-20T23:00,35,55,consultant,not_required,notification_late
R-32,2,2026-06-19T17:59,21,3841,consultant,recorded,acknowledgement_late
R-33,2,2026-06-20T08:00,10,490,specialty_registrar,missing,acknowledgement_late;escalation_missing
R-34,2,2026-06-21T09:00,240,480,consultant,not_required,compliant
R-35,1,2026-06-22T09:00,10,,phlebotomist,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-36,1,2026-06-22T23:50,30,60,advanced_nurse_practitioner,not_required,compliant
R-37,2,2026-06-21T08:00,0,479,consultant,not_required,compliant
R-38,2,2026-06-20T08:00,240,480,specialty_registrar,not_required,compliant
R-39,2,2026-06-21T08:00,30,480,consultant,not_required,compliant
R-40,1,2026-06-23T10:00,31,60,resident_doctor,not_required,notification_late
R-41,2,2026-06-22T17:59,31,480,consultant,not_required,compliant
R-42,2,2026-06-24T08:00,1,480,consultant,not_required,compliant
R-43,2,2026-06-24T08:00,30,479,specialty_registrar,not_required,compliant
R-44,1,2026-06-24T14:00,20,60,consultant,not_required,compliant
R-45,1,2026-06-24T14:00,20,61,resident_doctor,missing,acknowledgement_late;escalation_missing
R-46,2,2026-06-24T09:00,240,480,consultant,not_required,compliant
R-47,2,2026-06-24T09:00,241,480,consultant,not_required,notification_late
R-48,1,2026-06-24T10:00,15,45,advanced_nurse_practitioner,not_required,compliant
R-49,2,2026-06-20T17:59,21,3841,consultant,recorded,acknowledgement_late
R-50,1,2026-06-25T00:00,28,59,consultant,not_required,compliant
R-51,1,2026-06-25T23:59,30,60,consultant,not_required,compliant
R-52,1,2026-06-25T15:00,10,,healthcare_assistant,recorded,acknowledgement_late;acknowledger_unapproved
R-53,1,2026-06-25T03:00,35,,pharmacist,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing;notification_late
R-54,2,2026-06-21T17:59,21,481,specialty_registrar,missing,acknowledgement_late;escalation_missing
R-55,2,2026-06-22T08:00,10,481,consultant,missing,acknowledgement_late;escalation_missing
R-56,1,2026-06-25T11:00,15,45,consultant,not_required,compliant
R-57,2,2026-06-26T08:00,20,60,consultant,not_required,compliant
R-58,2,2026-06-26T08:00,30,240,consultant,not_required,compliant
R-59,2,2026-06-27T08:00,120,360,consultant,not_required,compliant
R-60,2,2026-06-27T08:00,120,360,consultant,not_required,compliant
R-61,2,2026-06-26T17:59,21,241,consultant,not_required,compliant
R-62,2,2026-06-27T08:00,30,240,specialty_registrar,not_required,compliant
R-63,2,2026-06-28T08:00,120,360,consultant,not_required,compliant
R-64,2,2026-06-29T08:00,120,360,consultant,not_required,compliant
R-65,1,2026-06-26T23:59,21,51,consultant,not_required,compliant
R-66,1,2026-06-26T10:00,30,50,consultant,not_required,compliant
R-67,1,2026-06-26T10:00,31,50,consultant,not_required,notification_late
R-68,2,2026-06-26T08:00,240,360,consultant,not_required,compliant
R-69,2,2026-06-26T08:00,241,360,consultant,not_required,notification_late
R-70,1,2026-06-26T10:00,15,60,consultant,not_required,compliant
R-71,1,2026-06-26T10:00,15,61,consultant,recorded,acknowledgement_late
R-72,2,2026-06-26T08:00,120,480,consultant,not_required,compliant
R-73,2,2026-06-26T08:00,120,481,consultant,recorded,acknowledgement_late
R-74,1,2026-06-26T10:00,10,,ward_clerk,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-75,1,2026-06-26T10:00,10,,nurse_hca,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-76,1,2026-06-26T10:00,10,,phlebotomist,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-77,1,2026-06-26T10:00,10,,healthcare_assistant,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-78,1,2026-06-26T10:00,10,,pharmacist,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-79,1,2026-06-26T10:00,10,,student_nurse,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-80,1,2026-06-26T10:00,10,,lab_technician,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-81,1,2026-06-26T10:00,10,,ward_clerk,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-82,1,2026-06-26T10:00,10,,phlebotomist,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-83,1,2026-06-26T10:00,10,,nurse_hca,recorded,acknowledgement_late;acknowledger_unapproved
R-84,1,2026-06-26T10:00,10,,,recorded,acknowledgement_late
R-85,1,2026-06-26T10:00,10,,,missing,acknowledgement_late;escalation_missing
R-86,2,2026-06-26T08:00,10,,ward_clerk,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-87,2,2026-06-26T08:00,10,,phlebotomist,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-88,1,2026-06-26T23:59,30,51,consultant,not_required,compliant
R-89,1,2026-06-26T23:59,31,51,consultant,not_required,notification_late
R-90,2,2026-06-26T17:59,21,3841,consultant,recorded,acknowledgement_late
R-91,2,2026-06-28T08:00,120,360,consultant,not_required,compliant
R-92,2,2026-06-27T08:00,30,240,specialty_registrar,not_required,compliant
R-93,2,2026-06-27T17:59,21,481,consultant,missing,acknowledgement_late;escalation_missing
R-94,1,2026-06-26T12:00,29,59,consultant,not_required,compliant
R-95,1,2026-06-26T12:00,32,59,consultant,not_required,notification_late
R-96,1,2026-06-26T12:00,29,62,consultant,recorded,acknowledgement_late
R-97,1,2026-06-26T12:00,32,62,consultant,recorded,acknowledgement_late;notification_late
R-98,1,2026-06-26T13:00,28,58,consultant,not_required,compliant
R-99,1,2026-06-26T13:00,33,58,consultant,not_required,notification_late
R-100,1,2026-06-26T13:00,28,63,consultant,recorded,acknowledgement_late
R-101,1,2026-06-26T13:00,33,63,consultant,recorded,acknowledgement_late;notification_late
R-102,1,2026-06-26T14:00,27,57,consultant,not_required,compliant
R-103,1,2026-06-26T14:00,34,57,consultant,not_required,notification_late
R-104,1,2026-06-26T14:00,27,64,consultant,recorded,acknowledgement_late
R-105,1,2026-06-26T14:00,34,64,consultant,recorded,acknowledgement_late;notification_late
R-106,1,2026-06-26T15:00,26,56,consultant,not_required,compliant
R-107,1,2026-06-26T15:00,35,56,consultant,not_required,notification_late
R-108,1,2026-06-26T15:00,26,65,consultant,recorded,acknowledgement_late
R-109,1,2026-06-26T15:00,35,65,consultant,recorded,acknowledgement_late;notification_late
R-110,1,2026-06-26T16:00,25,55,consultant,not_required,compliant
R-111,1,2026-06-26T16:00,36,55,consultant,not_required,notification_late
R-112,1,2026-06-26T16:00,25,66,consultant,recorded,acknowledgement_late
R-113,1,2026-06-26T16:00,36,66,consultant,recorded,acknowledgement_late;notification_late
R-114,2,2026-06-26T08:00,239,479,consultant,not_required,compliant
R-115,2,2026-06-26T08:00,242,479,consultant,not_required,notification_late
R-116,2,2026-06-26T08:00,239,482,consultant,recorded,acknowledgement_late
R-117,2,2026-06-26T08:00,242,482,consultant,recorded,acknowledgement_late;notification_late
R-118,2,2026-06-26T09:00,238,478,consultant,not_required,compliant
R-119,2,2026-06-26T09:00,243,478,consultant,not_required,notification_late
R-120,2,2026-06-26T09:00,238,483,consultant,recorded,acknowledgement_late
R-121,2,2026-06-26T09:00,243,483,consultant,recorded,acknowledgement_late;notification_late
R-122,2,2026-06-26T10:00,237,477,consultant,not_required,compliant
R-123,2,2026-06-26T10:00,244,477,consultant,not_required,notification_late
R-124,2,2026-06-26T10:00,237,484,consultant,recorded,acknowledgement_late
R-125,2,2026-06-26T10:00,244,484,consultant,recorded,acknowledgement_late;notification_late
R-126,2,2026-06-26T11:00,236,476,consultant,not_required,compliant
R-127,2,2026-06-26T11:00,245,476,consultant,not_required,notification_late
R-128,2,2026-06-26T11:00,236,485,consultant,recorded,acknowledgement_late
R-129,2,2026-06-26T11:00,245,485,consultant,recorded,acknowledgement_late;notification_late
R-130,2,2026-06-26T12:00,235,475,consultant,not_required,compliant
R-131,2,2026-06-26T12:00,246,475,consultant,not_required,notification_late
R-132,2,2026-06-26T12:00,235,486,consultant,recorded,acknowledgement_late
R-133,2,2026-06-26T12:00,246,486,consultant,recorded,acknowledgement_late;notification_late
R-134,1,2026-06-26T10:00,10,,ward_clerk,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-135,1,2026-06-26T10:00,10,,ward_clerk,recorded,acknowledgement_late;acknowledger_unapproved
R-136,1,2026-06-26T10:00,45,,ward_clerk,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing;notification_late
R-137,1,2026-06-26T10:00,10,,nurse_hca,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-138,1,2026-06-26T10:00,10,,nurse_hca,recorded,acknowledgement_late;acknowledger_unapproved
R-139,1,2026-06-26T10:00,45,,nurse_hca,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing;notification_late
R-140,1,2026-06-26T10:00,10,,phlebotomist,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-141,1,2026-06-26T10:00,10,,phlebotomist,recorded,acknowledgement_late;acknowledger_unapproved
R-142,1,2026-06-26T10:00,45,,phlebotomist,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing;notification_late
R-143,1,2026-06-26T10:00,10,,healthcare_assistant,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-144,1,2026-06-26T10:00,10,,healthcare_assistant,recorded,acknowledgement_late;acknowledger_unapproved
R-145,1,2026-06-26T10:00,45,,healthcare_assistant,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing;notification_late
R-146,1,2026-06-26T10:00,10,,pharmacist,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-147,1,2026-06-26T10:00,10,,pharmacist,recorded,acknowledgement_late;acknowledger_unapproved
R-148,1,2026-06-26T10:00,45,,pharmacist,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing;notification_late
R-149,1,2026-06-26T10:00,10,,student_nurse,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-150,1,2026-06-26T10:00,10,,student_nurse,recorded,acknowledgement_late;acknowledger_unapproved
R-151,1,2026-06-26T10:00,45,,student_nurse,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing;notification_late
R-152,1,2026-06-26T10:00,10,,lab_technician,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing
R-153,1,2026-06-26T10:00,10,,lab_technician,recorded,acknowledgement_late;acknowledger_unapproved
R-154,1,2026-06-26T10:00,45,,lab_technician,missing,acknowledgement_late;acknowledger_unapproved;escalation_missing;notification_late
