line_id,verdict,record_entry
ST-101,VERIFIED,OI-202
ST-102,VERIFIED,OI-203
ST-103,VERIFIED,OI-204
ST-104,AT_ODDS,CL-301
ST-105,VERIFIED,OI-205
ST-106,VERIFIED,OI-206
ST-107,AT_ODDS,OI-207
ST-108,VERIFIED,CL-302
ST-109,VERIFIED,CL-303
ST-110,AT_ODDS,OI-210
ST-111,VERIFIED,OI-211
ST-112,VERIFIED,CL-304
ST-113,AT_ODDS,CL-305
ST-114,NOT_IN_RECORD,NONE
ST-115,NOT_IN_RECORD,NONE
ST-116,NOT_IN_RECORD,NONE
ST-117,VERIFIED,CL-302
ST-118,AT_ODDS,CL-306
ST-119,AT_ODDS,OI-210
ST-120,NOT_IN_RECORD,NONE
ST-121,AT_ODDS,CL-306
ST-122,AT_ODDS,OI-205
ST-123,VERIFIED,CL-302
ST-124,NOT_IN_RECORD,NONE
ST-125,VERIFIED,CL-302
ST-126,VERIFIED,CL-303
ST-127,AT_ODDS,OI-210
ST-128,AT_ODDS,CL-305
ST-129,AT_ODDS,CL-301
ST-130,AT_ODDS,OI-205
ST-131,AT_ODDS,CL-306
ST-132,AT_ODDS,CL-302
ST-133,AT_ODDS,OI-202
ST-134,AT_ODDS,CL-303
ST-135,AT_ODDS,CL-304
ST-136,AT_ODDS,OI-205
ST-137,VERIFIED,OI-210
ST-138,AT_ODDS,OI-206
ST-139,VERIFIED,OI-207
ST-140,VERIFIED,OI-203
ST-141,AT_ODDS,OI-204
ST-142,AT_ODDS,OI-202
ST-143,AT_ODDS,CL-301
ST-144,AT_ODDS,CL-302
ST-145,AT_ODDS,OI-210
ST-146,AT_ODDS,OI-206
ST-147,AT_ODDS,CL-306
ST-148,AT_ODDS,OI-203
ST-149,AT_ODDS,CL-304
ST-150,AT_ODDS,OI-207
ST-151,AT_ODDS,CL-305
ST-152,AT_ODDS,OI-204
ST-153,VERIFIED,CL-302
ST-154,VERIFIED,CL-303
ST-155,VERIFIED,CL-304
ST-156,VERIFIED,CL-301
ST-157,VERIFIED,CL-305
ST-158,VERIFIED,CL-306
ST-159,NOT_IN_RECORD,NONE
ST-160,NOT_IN_RECORD,NONE
ST-161,NOT_IN_RECORD,NONE
ST-162,NOT_IN_RECORD,NONE
ST-163,VERIFIED,OI-210
ST-164,VERIFIED,OI-206
ST-165,VERIFIED,OI-203
ST-166,VERIFIED,OI-204
ST-167,VERIFIED,OI-202
ST-168,VERIFIED,OI-205
ST-169,VERIFIED,OI-207
ST-170,VERIFIED,OI-211
ST-171,VERIFIED,CL-302
ST-172,VERIFIED,CL-302
ST-173,VERIFIED,CL-303
ST-174,VERIFIED,CL-303
ST-175,VERIFIED,CL-304
ST-176,VERIFIED,CL-301
ST-177,VERIFIED,CL-305
ST-178,VERIFIED,CL-306
ST-179,VERIFIED,CL-306
ST-180,AT_ODDS,CL-301
ST-181,AT_ODDS,CL-301
ST-182,AT_ODDS,CL-305
ST-183,AT_ODDS,CL-306
ST-184,AT_ODDS,CL-304
ST-185,AT_ODDS,CL-302
ST-186,VERIFIED,OI-210
ST-187,VERIFIED,OI-210
ST-188,VERIFIED,OI-206
ST-189,VERIFIED,OI-207
ST-190,VERIFIED,OI-203
ST-191,VERIFIED,OI-204
ST-192,VERIFIED,OI-202
ST-193,VERIFIED,OI-205
ST-194,VERIFIED,OI-211
ST-195,AT_ODDS,OI-206
ST-196,AT_ODDS,OI-206
ST-197,AT_ODDS,OI-205
ST-198,AT_ODDS,OI-205
ST-199,AT_ODDS,OI-204
ST-200,AT_ODDS,OI-210
ST-201,AT_ODDS,OI-207
ST-202,AT_ODDS,OI-202
ST-203,AT_ODDS,OI-203
ST-204,NOT_IN_RECORD,NONE
ST-205,NOT_IN_RECORD,NONE
ST-206,NOT_IN_RECORD,NONE
ST-207,NOT_IN_RECORD,NONE
ST-208,NOT_IN_RECORD,NONE
ST-209,NOT_IN_RECORD,NONE
ST-210,NOT_IN_RECORD,NONE
ST-211,NOT_IN_RECORD,NONE
ST-212,AT_ODDS,CL-305
ST-213,AT_ODDS,CL-306
ST-214,VERIFIED,CL-302
ST-215,VERIFIED,CL-302
ST-216,AT_ODDS,CL-301
ST-217,AT_ODDS,CL-304
ST-218,AT_ODDS,CL-303
ST-219,AT_ODDS,CL-305
ST-220,AT_ODDS,CL-306
ST-221,VERIFIED,OI-210
ST-222,VERIFIED,OI-211
ST-223,VERIFIED,OI-202
ST-224,AT_ODDS,OI-205
ST-225,AT_ODDS,OI-205
ST-226,AT_ODDS,OI-206
ST-227,AT_ODDS,OI-204
ST-228,AT_ODDS,OI-203
ST-229,AT_ODDS,OI-210
ST-230,AT_ODDS,OI-207
ST-231,VERIFIED,CL-301
ST-232,VERIFIED,CL-305
ST-233,VERIFIED,CL-304
ST-234,NOT_IN_RECORD,NONE
ST-235,NOT_IN_RECORD,NONE
ST-236,NOT_IN_RECORD,NONE
ST-237,NOT_IN_RECORD,NONE
ST-238,NOT_IN_RECORD,NONE
