line_id,verdict,record_entry
ST-101,VERIFIED,OI-202
ST-102,VERIFIED,OI-203
ST-103,VERIFIED,OI-204
ST-104,AT_ODDS,CL-301
ST-105,VERIFIED,OI-205
ST-106,VERIFIED,OI-206
ST-107,AT_ODDS,OI-207
ST-108,VERIFIED,CL-302
ST-109,VERIFIED,CL-303
ST-110,AT_ODDS,OI-210
ST-111,VERIFIED,OI-211
ST-112,VERIFIED,CL-304
ST-113,AT_ODDS,CL-305
ST-114,NOT_IN_RECORD,NONE
ST-115,NOT_IN_RECORD,NONE
ST-116,NOT_IN_RECORD,NONE
ST-117,VERIFIED,CL-302
ST-118,NOT_IN_RECORD,NONE
ST-119,AT_ODDS,OI-210
ST-120,NOT_IN_RECORD,NONE
ST-121,AT_ODDS,CL-306
ST-122,AT_ODDS,OI-205
ST-123,VERIFIED,CL-302
ST-124,NOT_IN_RECORD,NONE
ST-125,VERIFIED,CL-302
ST-126,VERIFIED,CL-303
ST-127,AT_ODDS,OI-210
ST-128,NOT_IN_RECORD,NONE
ST-129,AT_ODDS,CL-301
ST-130,AT_ODDS,OI-205
ST-131,AT_ODDS,CL-306
ST-132,AT_ODDS,CL-302
ST-133,AT_ODDS,OI-202
ST-134,AT_ODDS,CL-303
ST-135,AT_ODDS,CL-304
ST-136,AT_ODDS,OI-205
ST-137,VERIFIED,OI-210
ST-138,AT_ODDS,OI-206
ST-139,VERIFIED,OI-207
ST-140,VERIFIED,OI-203
ST-141,AT_ODDS,OI-204
ST-142,AT_ODDS,OI-202
