recipe_id,chicken_lb,rice_cups,asparagus_lb,extra_name,extra_cost_usd,extra_is_pantry_staple,serving_count,claimed_cost_per_serving,chicken_price_used
R-01,0.5,1.0,0.5,garlic,0.3,False,2,3.0,4.25
R-02,0.75,1.0,0.5,parmesan,1.5,False,2,3.0,4.25
R-03,0.5,1.0,0.5,finishing_salt,2.0,True,2,2.75,4.25
R-04,0.4,0.5,0.5,none,0.0,False,2,2.0,4.0
R-05,0.6,1.5,0.5,lime,0.5,False,3,1.5,4.25
R-06,0.3,0.5,0.3,none,0.0,False,2,1.2,4.25
R-07,0.5,0.5,0.5,none,0.0,False,2,2.0,4.25
R-08,0.6,0.6,0.4,none,0.0,False,0,2.0,4.25
R-09,0.5,1.0,0.5,finishing_salt,2.0,yes,2,2.75,4.25
R-10,0.5,0.5,0.5,none,0.0,False,,2.0,4.25
R-11,0.4,0.5,0.4,none,0.0,False,  ,1.5,4.25
 R-12 ,0.4,0.5,0.4,none,0.0,False,2,1.8,4.25
R-13,0.3,0.5,0.3,none,0.0,False,2,1.5, 4.25 
R-14,0.5,0.5,0.4,none,0.0,False,2,2.0,4.25
R-15,0.75,1.0,0.5,parmesan,1.5,False,2,2.5,4.0
R-16,0.5,0.5,0.5,none,0.0,False,0,2.0,4.0
R-17,0.5,0.5,0.5,none,0.0,False,2,1.65,4.25
R-18,0.5,0.5,0.5,none,0.0,False,2,1.64,4.25
R-19,0.5,1.0,0.5,finishing_salt,2.0,Truee,2,2.75,4.25
R-20,0.5,1.0,0.5,finishing_salt,2.0, True ,2,2.75,4.25
R-21,0.3,0.5,0.3,none,0.0,False,02,1.5,4.25
R-22,0.3,0.5,0.3,none,0.0,False,+2,1.5,4.25
R-23,0.75,1.0,0.5,parmesan,1.5,False,2,3.0,4.25
R-23,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25
R-24,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25
R-24,0.3,0.5,0.3,none,0.0,False,2,1.5,4.0
R-25,0.5,1.0,0.5,finishing_salt,2.0,1,2,2.75,4.25
R-26,0.5,1.0,0.5,finishing_salt,2.0,Y,2,2.75,4.25
R-27,0.4,0.5,0.3,none,0.0,False,2,2.0,4.25
R-28,0.4,0.5,0.4,garlic,0.2,False,2,2.0,4.25
R-29,0.3,0.5,0.3,none,0.0,False,2,1.5,
R-30,0.5,0.5,0.5,none,0.0,False,0.0,2.0,4.25
r-31,0.5,0.5,0.5,none,0.0,False,2,2.0,4.0
 R-31 ,0.5,0.5,0.5,none,0.0,False,2,2.0,4.25
R-32,0.5,0.5,0.5,none,0.0,False,2,1.66,4.25
R-33,0.5,1.0,0.5,finishing_salt,2.0,TRUE,2,2.75,4.25
R-34,0.5,0.5,0.5,none,0.0,False,2,2.0,4.25
R-34,0.5,0.5,0.5,none,0.0,False,2,2.0,4.25
R-34,0.3,0.5,0.3,none,0.0,False,2,1.5,4.0
R-35,0.3,0.5,0.3,none,0.0,False,2.0,1.5,4.0
R-36,0.5,0.5,0.5,olive_oil,0.0,TRUE!,2,1.9,4.25
R-37,0.5,0.5,0.5,none,0.0,False,+0,2.0,4.25
R-38,0.3,0.5,0.3,none,0.0,False,2,1.5, 4.25 
R-39,0.5,1.0,0.5,finishing_salt,2.0, true ,2,2.75,4.25
R-40,0.3,0.5,0.3,none,0.0,False,2,1.5,4.250
R-41,2.0,3.0,1.0,none,0.0,False,10,1.2,4.25
R-42,0.5,0.5,0.5,none,0.0,False,00,2.0,4.25
R-43,0.3,0.5,0.3,none,0.0,False,2,1.5,4.0
R-43,0.5,0.5,0.5,none,0.0,False,2,2.0,4.25
R-44,0.5,0.5,0.5,truffle_oil,5.0,True,2,1.9,4.25
R-45,0.3,0.5,0.3,none,0.0,False,2,1.5,4.2
R-46,0.5,0.5,0.5,none,0.0,False,0.00,2.0,4.25
R-47,0.5,0.5,0.5,none,0.0,False,2,1.625,4.25
 r-48 ,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25
R-49,0.5,1.0,0.5,finishing_salt,2.0,1,2,2.75,4.25
R-50,0.75,1.0,0.5,parmesan,1.5,False,2,2.5,4.0
R-51,0.5,0.5,0.5,none,0.0,False,-2,2.0,4.25
R-52,0.5,0.5,0.5,none,0.0,False,2.5,1.5,4.25
R-53,0.5,1.0,0.5,saffron,10.0,True,2,2.0,4.25
R-54,0.75,1.0,0.5,parmesan,1.5,False,2,1.5,4.0
R-55,0.3,0.5,0.3,none,0.0,False,2,5.0,4.25
R-56,0.5,1.0,0.5,truffle_oil,8.0,TRUE,2,2.0,4.25
R-57,0.75,1.0,0.5,parmesan,1.5,False,2,1.0,4.0
R-57,0.75,1.0,0.5,parmesan,1.5,False,2,1.0,4.0
R-57,0.75,1.0,0.5,parmesan,1.5,False,2,1.0,4.0
R-57,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25
R-58,0.3,0.5,0.3,none,0.0,False,2,1.5,4.2
R-59,0.5,0.5,0.5,none,0.0,False,0.5,5.0,4.25
R-60,0.5,1.0,0.5,herbs, 1.50 ,False,2,2.5,4.25
R-61,0.3,0.5,0.3,water,0.00,True,2,1.5,4.25
R-62,0.5,1.0,0.5,parmesan,1.5,False,2,2.5,4.0
R-63,0.5,0.5,0.5,none,0.0,False,-0,2.0,4.25
R-64,0.4,0.4,0.4,none,0.0,False,2,1.47,4.25
R-65,5.0,10.0,5.0,none,0.0,False,100,0.30,4.25
R-66,0.5,1.0,0.5,sea_salt,3.0,True,2,2.0,4.25
R-67,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25
R-67,0.5,0.5,0.5,none,0.0,False,2,2.0,4.0
R-68,0.5,0.5,0.5,none,0.0,False,2,2.0,
R-69,0.3,0.5,0.3,none,0.0,False,2.0,1.5,4.0
R-70,0.5,1.0,0.5,vanilla,4.0,true,2,2.0,4.25
R-71,0.5,0.5,0.5,none,0.0,False,2,1.66,4.25
R-72,0.5,0.5,0.5,none,0.0,False,2,2.0,4.0
R-72,0.5,0.5,0.5,none,0.0,False,2,2.0,4.25
R-72,0.5,0.5,0.5,none,0.0,False,2,2.0,4.0
R-72,0.5,0.5,0.5,none,0.0,False,2,2.0,4.25
R-72,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25
R-73,0.75,1.0,0.5,parmesan,1.5,False,2,1.0,4.0
R-74,0.5,0.5,0.5,none,0.0,False,0,2.0,4.25
R-75,0.5,1.0,0.5,bay_leaf,3.0,True ,2,2.0,4.25
R-76,0.3,0.5,0.3,none,0.0,False,2,1.5, 4.25 
R-77,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25
R-78,0.5,1.0,0.5,herbs,5.0,1,2,2.0,4.25
R-79,0.5,0.5,0.5,none,0.0,False,0,2.0,4.0
R-80,0.3,0.5,0.3,none,0.0,False,2,1.5,4.25
