recipe_id,finding
R-01,none
R-02,COST_CLAIM_INVALID
R-03,none
R-04,PRICE_SHEET_STALE
R-05,COST_CLAIM_INVALID
R-06,none
R-07,none
R-08,SERVING_COUNT_MISSING
R-09,COST_CLAIM_INVALID
R-10,SERVING_COUNT_MISSING
R-11,SERVING_COUNT_MISSING
R-12,none
R-13,none
R-14,none
R-15,PRICE_SHEET_STALE
R-16,SERVING_COUNT_MISSING
R-17,COST_CLAIM_INVALID
R-18,COST_CLAIM_INVALID
R-19,COST_CLAIM_INVALID
R-20,none
R-21,none
R-22,none
R-23,none
R-24,PRICE_SHEET_STALE
R-25,COST_CLAIM_INVALID
R-26,COST_CLAIM_INVALID
R-27,none
R-28,none
R-29,PRICE_SHEET_STALE
R-30,SERVING_COUNT_MISSING
R-31,none
R-32,COST_CLAIM_INVALID
R-33,none
R-34,PRICE_SHEET_STALE
R-35,PRICE_SHEET_STALE
R-36,none
R-37,SERVING_COUNT_MISSING
R-38,none
R-39,none
R-40,none
R-41,none
R-42,SERVING_COUNT_MISSING
R-43,none
R-44,none
R-45,PRICE_SHEET_STALE
R-46,SERVING_COUNT_MISSING
R-47,COST_CLAIM_INVALID
R-48,none
R-49,COST_CLAIM_INVALID
R-50,PRICE_SHEET_STALE
R-51,SERVING_COUNT_MISSING
R-52,none
R-53,none
R-54,PRICE_SHEET_STALE
R-55,none
R-56,none
R-57,none
R-58,PRICE_SHEET_STALE
R-59,COST_CLAIM_INVALID
R-60,COST_CLAIM_INVALID
R-61,none
R-62,PRICE_SHEET_STALE
R-63,SERVING_COUNT_MISSING
R-64,none
R-65,none
R-66,none
R-67,PRICE_SHEET_STALE
R-68,PRICE_SHEET_STALE
R-69,PRICE_SHEET_STALE
R-70,none
R-71,COST_CLAIM_INVALID
R-72,none
R-73,PRICE_SHEET_STALE
R-74,SERVING_COUNT_MISSING
R-75,none
R-76,none
R-77,none
R-78,COST_CLAIM_INVALID
R-79,SERVING_COUNT_MISSING
R-80,none
R-81,PRICE_SHEET_STALE
R-82,COST_CLAIM_INVALID
R-83,COST_CLAIM_INVALID
R-84,PRICE_SHEET_STALE
R-85,SERVING_COUNT_MISSING
R-86,none
R-87,PRICE_SHEET_STALE
R-88,SERVING_COUNT_MISSING
R-89,none
R-90,PRICE_SHEET_STALE
R-91,COST_CLAIM_INVALID
R-92,COST_CLAIM_INVALID
R-93,none
R-94,none
R-95,none
R-96,SERVING_COUNT_MISSING
R-97,COST_CLAIM_INVALID
R-98,COST_CLAIM_INVALID
R-99,none
R-100,PRICE_SHEET_STALE
R-101,COST_CLAIM_INVALID
R-102,none
R-103,SERVING_COUNT_MISSING
R-104,PRICE_SHEET_STALE
R-105,none
R-106,PRICE_SHEET_STALE
R-107,none
R-108,none
R-109,none
R-110,COST_CLAIM_INVALID
R-111,none
R-112,none
R-113,none
R-	114,none
R-115,none
R-116,none
R-117,none
R-118,SERVING_COUNT_MISSING
R-119,none
R-120,none
R-121,none
