ticket_id,table_ref,exception_type,status,approved,valid_until
CH-2100,orders_fact,REINDEX_HOLD,Closed,True,2026-09-30
CH-2201,T-121,BLOAT_HOLD,Closed,True,2026-09-15
CH-2202,legacy_t122,BLOAT_HOLD,Closed,True,2026-10-01
CH-2203,T-123,BLOAT_HOLD,closed,True,2026-09-20
CH-2204,T-124,FREEZE,Closed,True,2026-09-20
CH-2205,T-125,BLOAT_HOLD,Closed,True,2026-09-01
CH-2206,session_dim,BLOAT_HOLD,Closed,True,2026-09-18
CH-2207,T-127,BLOAT_HOLD,Closed,True,2026-09-30
CH-2208,T-128,BLOAT_HOLD,Open,True,2026-09-30
CH-2208b,T-128,BLOAT_HOLD,Closed,True,2026-09-30
CH-2209,T-129,BLOAT_HOLD,Closed,True,2026-09-30
CH-2209b,T-129,BLOAT_HOLD,Open,True,2026-09-30
CH-2210,T-130,BLOAT_HOLD,Closed,True,2026-09-25
CH-2211,T-08,BLOAT_HOLD,Closed,False,2026-09-12
CH-2212,billing_agg,BLOAT_HOLD,Closed,True,2026-09-12
CH-2213,T-50,BLOAT_HOLD,Closed,True,2026-09-20
CH-2214,T-46,BLOAT_HOLD,Closed,True,2026-09-22
CH-2215,T-09,BLOAT_HOLD,Closed,True,2026-09-28
