table_name,size_class,total_pages,dead_pages,bloat_ratio,autovacuum_enabled,vacuum_type,audit_date,last_analyzed,days_since_analyze,maintenance_active
T-01,large,1000,100,0.1,True,auto,2026-09-01,2026-08-22,15,False
T-02,large,1000,350,0.35,True,auto,2026-09-01,2026-08-27,10,False
T-03,small,1000,150,0.15,False,auto,2026-09-01,2026-08-27,10,False
T-04,small,1000,100,0.1,True,auto,2026-09-01,2026-07-18,50,False
T-05,large,1000,550,0.55,True,auto,2026-09-01,2026-08-27,10,True
T-06,small,1000,250,0.25,True,auto,2026-09-01,2026-08-22,15,False
T-07,large,1000,120,0.12,True,auto,2026-09-01,2026-08-12,25,False
T-08,small,1000,450,0.45,True,auto,2026-09-01,2026-08-24,13,False
T-09,large,1000,190,0.19,True,auto,2026-08-01,2026-08-02,35,False
T-10,large,1000,210,0.21,True,auto,2026-09-01,2026-08-01,36,True
T-11,small,1000,410,0.41,False,auto,2026-09-01,2026-08-27,10,False
T-12,large,1000,200,0.2,True,auto,2026-09-01,2026-08-17,20,False
T-13,small,1000,500,0.5,False,auto,2026-09-01,2026-07-13,55,False
T-14,small,1000,400,0.4,True,auto,2026-09-01,2026-08-22,15,False
T-15,large,1000,200,0.2,True,auto,2026-09-01,2026-08-12,25,False
T-16,large,1000,200,0.2,True,auto,2026-09-01,2026-08-01,36,True
T-17,small,1000,400,0.4,False,auto,2026-09-01,2026-07-13,55,False
T-18,large,1000,205,0.2,True,auto,2026-09-01,2026-08-22,15,False
T-19,small,1000,405,0.41,True,auto,2026-09-01,2026-08-17,20,False
T-20,large,1000,100,0.1,True,manual,2026-09-01,2026-08-22,15,False
T-21,large,1000,200,0.2,True,manual,2026-09-01,2026-07-18,50,False
T-26,large,1000,180,0.18,True,auto,2026-09-01,2026-07-27,41,False
T-27,small,1000,380,0.38,True,auto,2026-09-01,2026-07-17,51,False
T-28,large,1000,250,0.25,True,auto,2026-09-01,2026-08-22,15,True
T-29,large,1000,250,0.25,True,auto,2026-09-01,2026-08-22,15,True
T-30,large,1000,200,0.2,True,auto,2026-09-01,2026-07-27,40,False
T-31,large,1000,300,0.3,True,auto,2026-09-01,2026-08-22,15,False
T-32,large,1000,160,0.16,True,auto,2026-09-01,2026-08-22,15,False
T-31,large,1000,200,0.2,True,auto,2026-09-01,2026-08-22,15,False
T-32,large,1000,160,0.16,True,auto,2026-09-01,2026-08-22,15,False
T-33,small,200,41,0.2,True,auto,2026-09-01,2026-08-22,10,False
T-34,small,500,100,0.20,True,auto,2026-09-01,2026-08-22,10,False
T-35,small,500,110,0.22,True,auto,2026-09-01,2026-08-22,10,False
T-36,large,1000,180,0.18,True,auto,2026-09-01,2026-07-28,20,False
T-37,large,1000,250,0.25,True,auto,2026-09-01,2026-08-22,10,True
T-38,small,300,100,0.33,True,auto,2026-09-01,2026-08-22,10,True
T-39,large,1000,50,0.05,True,manual,2026-09-01,2026-08-22,10,False
T-40,large,1000,50,0.05,True,auto,2026-09-01,2026-07-28,25,False
T-41,small,300,120,0.40,True,auto,2026-09-01,2026-08-22,10,False
T-42,large,1000,200,0.20,True,auto,2026-09-01,2026-07-28,20,False
T-43,small,100,21,0.21,True,auto,2026-09-01,2026-08-22,10,False
T-44,medium,600,500,0.83,True,auto,2026-09-01,2026-08-22,10,False
T-45,small,1000,155,0.16,True,auto,2026-09-01,2026-07-30,10,False
T-46,large,1000,205,0.2,True,auto,2026-09-01,2026-08-25,7,False
T-47,large,1000,225,0.22,True,auto,2026-09-01,2026-08-26,6,False
T-48,large,1000,215,0.22,True,auto,2026-09-01,2026-08-27,5,False
T-49,small,1000,405,0.4,True,auto,2026-09-01,2026-08-24,8,False
T-50,large,1000,155,0.16,True,auto,2026-08-20,2026-07-30,10,False
T-51,large,1000,165,0.16,True,auto,2026-09-01,2026-07-27,3,False
T-52,large,1000,205,0.2,True,auto,2026-09-01,2026-07-29,2,False
T-53,large,1000,145,0.14,True,auto,2026-09-01,2026-07-28,5,False
T-54,large,1000,144,0.14,True,auto,2026-09-01,2026-07-21,1,False
T-55,large,1000,150,0.15,True,auto,2026-09-01,2026-07-25,4,False
T-56,large,1000,125,0.12,True,auto,2026-09-01,2026-07-23,2,False
T-57,large,499,205,0.41,True,auto,2026-09-01,2026-08-21,11,False
T-58,small,500,105,0.21,True,auto,2026-09-01,2026-08-21,11,False
T-59,Large,499,199,0.4,True,auto,2026-09-01,2026-08-23,9,False
T-60,LARGE,499,200,0.4,True,auto,2026-09-01,2026-08-23,9,False
T-61,medium,499,201,0.4,True,auto,2026-09-01,2026-08-23,9,False
T-62,medium,499,203,0.4,True,auto,2026-09-01,2026-08-23,9,False
