table_name,size_class,bloat_ratio,finding
T-82,large,0.08,STALE_STATISTICS
T-13,large,0.5,AUTOVACUUM_DISABLED
T-17,large,0.4,AUTOVACUUM_DISABLED
T-72,large,0.4,AUTOVACUUM_DISABLED
T-27,large,0.38,BLOAT_THRESHOLD_EXCEEDED
T-04,large,0.1,STALE_STATISTICS
T-128,large,0.28,STALE_STATISTICS
T-21,large,0.2,AUTOVACUUM_DISABLED
T-54,large,0.14,BLOAT_THRESHOLD_EXCEEDED
T-89,small,0.34,STALE_STATISTICS
T-112,large,0.12,BLOAT_THRESHOLD_EXCEEDED
T-113,large,0.1,STALE_STATISTICS
T-114,large,0.1,STALE_STATISTICS
T-116,small,0.37,BLOAT_THRESHOLD_EXCEEDED
T-117,small,0.35,STALE_STATISTICS
T-122,large,0.35,STALE_STATISTICS
T-130,small,0.4,STALE_STATISTICS
T-56,large,0.13,BLOAT_THRESHOLD_EXCEEDED
T-81,large,0.1,STALE_STATISTICS
T-87,small,0.36,BLOAT_THRESHOLD_EXCEEDED
T-88,small,0.35,STALE_STATISTICS
T-55,large,0.15,BLOAT_THRESHOLD_EXCEEDED
T-26,large,0.18,BLOAT_THRESHOLD_EXCEEDED
T-30,large,0.2,BLOAT_THRESHOLD_EXCEEDED
T-51,large,0.17,BLOAT_THRESHOLD_EXCEEDED
T-115,large,0.11,BLOAT_THRESHOLD_EXCEEDED
T-36,large,0.18,BLOAT_THRESHOLD_EXCEEDED
T-40,large,0.05,STALE_STATISTICS
T-42,large,0.2,BLOAT_THRESHOLD_EXCEEDED
T-53,large,0.15,BLOAT_THRESHOLD_EXCEEDED
T-52,large,0.21,BLOAT_THRESHOLD_EXCEEDED
T-45,large,0.16,BLOAT_THRESHOLD_EXCEEDED
T-50,large,0.16,STALE_STATISTICS
T-10,large,0.21,STALE_STATISTICS
T-16,large,0.2,BLOAT_THRESHOLD_EXCEEDED
T-09,large,0.19,STALE_STATISTICS
T-100,large,0.19,BLOAT_THRESHOLD_EXCEEDED
T-101,small,0.35,STALE_STATISTICS
T-102,small,0.36,BLOAT_THRESHOLD_EXCEEDED
T-103,large,0.1,STALE_STATISTICS
T-118,large,0.18,BLOAT_THRESHOLD_EXCEEDED
T-63,large,0.18,BLOAT_THRESHOLD_EXCEEDED
T-64,large,0.21,BLOAT_THRESHOLD_EXCEEDED
T-97,large,0.14,BLOAT_THRESHOLD_EXCEEDED
T-98,large,0.15,BLOAT_THRESHOLD_EXCEEDED
T-99,large,0.16,BLOAT_THRESHOLD_EXCEEDED
T-104,large,0.1,none
T-07,large,0.12,none
T-15,large,0.2,none
T-74,large,0.5,AUTOVACUUM_DISABLED
T-12,large,0.2,none
T-19,large,0.41,BLOAT_THRESHOLD_EXCEEDED
T-85,large,0.23,BLOAT_THRESHOLD_EXCEEDED
T-79,small,0.41,BLOAT_THRESHOLD_EXCEEDED
T-80,small,0.4,none
T-84,large,0.22,BLOAT_THRESHOLD_EXCEEDED
T-108,small,0.41,BLOAT_THRESHOLD_EXCEEDED
T-57,small,0.41,BLOAT_THRESHOLD_EXCEEDED
T-58,large,0.21,BLOAT_THRESHOLD_EXCEEDED
T-01,large,0.1,none
T-06,large,0.25,BLOAT_THRESHOLD_EXCEEDED
T-14,large,0.4,BLOAT_THRESHOLD_EXCEEDED
T-18,large,0.21,BLOAT_THRESHOLD_EXCEEDED
T-20,large,0.1,AUTOVACUUM_DISABLED
T-28,large,0.25,none
T-29,large,0.25,BLOAT_THRESHOLD_EXCEEDED
T-31,large,0.2,none
T-32,large,0.16,none
T-33,small,0.21,none
T-34,large,0.2,none
T-35,large,0.22,BLOAT_THRESHOLD_EXCEEDED
T-37,large,0.25,BLOAT_THRESHOLD_EXCEEDED
T-38,small,0.33,none
T-39,large,0.05,AUTOVACUUM_DISABLED
T-41,small,0.4,none
T-43,small,0.21,none
T-44,large,0.83,BLOAT_THRESHOLD_EXCEEDED
T-76,small,0.41,BLOAT_THRESHOLD_EXCEEDED
T-77,small,0.4,none
T-106,large,0.32,none
T-59,small,0.4,none
T-60,small,0.4,none
T-61,small,0.4,none
T-62,small,0.41,BLOAT_THRESHOLD_EXCEEDED
T-66,large,0.28,BLOAT_THRESHOLD_EXCEEDED
T-78,small,0.41,BLOAT_THRESHOLD_EXCEEDED
T-08,large,0.45,none
T-105,large,0.3,BLOAT_THRESHOLD_EXCEEDED
T-120,large,0.28,none
T-125,large,0.3,BLOAT_THRESHOLD_EXCEEDED
T-49,large,0.41,BLOAT_THRESHOLD_EXCEEDED
T-65,large,0.35,BLOAT_THRESHOLD_EXCEEDED
T-75,large,0.21,BLOAT_THRESHOLD_EXCEEDED
T-94,large,0.2,none
T-95,large,0.2,none
T-96,large,0.21,BLOAT_THRESHOLD_EXCEEDED
T-119,large,0.3,BLOAT_THRESHOLD_EXCEEDED
T-124,large,0.31,BLOAT_THRESHOLD_EXCEEDED
T-46,large,0.21,none
T-69,large,0.3,none
T-70,large,0.26,BLOAT_THRESHOLD_EXCEEDED
T-107,large,0.28,BLOAT_THRESHOLD_EXCEEDED
T-111,large,0.02,none
T-123,large,0.32,BLOAT_THRESHOLD_EXCEEDED
T-47,large,0.23,BLOAT_THRESHOLD_EXCEEDED
T-68,large,0.24,BLOAT_THRESHOLD_EXCEEDED
T-90,large,0.24,BLOAT_THRESHOLD_EXCEEDED
T-91,large,0.25,BLOAT_THRESHOLD_EXCEEDED
T-92,large,0.26,BLOAT_THRESHOLD_EXCEEDED
T-02,large,0.35,BLOAT_THRESHOLD_EXCEEDED
T-03,large,0.15,AUTOVACUUM_DISABLED
T-05,large,0.55,BLOAT_THRESHOLD_EXCEEDED
T-109,large,0.02,none
T-11,large,0.41,AUTOVACUUM_DISABLED
T-110,large,0.02,AUTOVACUUM_DISABLED
T-121,large,0.35,none
T-129,large,0.29,BLOAT_THRESHOLD_EXCEEDED
T-48,large,0.22,BLOAT_THRESHOLD_EXCEEDED
T-67,large,0.25,BLOAT_THRESHOLD_EXCEEDED
T-83,large,0.1,none
T-86,large,0.1,none
T-126,large,0.33,none
T-71,large,0.05,AUTOVACUUM_DISABLED
T-93,large,0.01,none
T-127,large,0.05,AUTOVACUUM_DISABLED
T-73,large,0.08,AUTOVACUUM_DISABLED
