table_name,suggested_finding,note
T-01,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-02,none,health-dashboard heuristic — not authoritative
T-03,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-04,none,health-dashboard heuristic — not authoritative
T-05,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-06,none,health-dashboard heuristic — not authoritative
T-07,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-08,none,health-dashboard heuristic — not authoritative
T-09,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-10,none,health-dashboard heuristic — not authoritative
T-11,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-12,none,health-dashboard heuristic — not authoritative
T-13,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-14,none,health-dashboard heuristic — not authoritative
T-15,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-16,none,health-dashboard heuristic — not authoritative
T-17,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-18,none,health-dashboard heuristic — not authoritative
T-19,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-20,none,health-dashboard heuristic — not authoritative
T-21,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-26,none,health-dashboard heuristic — not authoritative
T-27,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-28,none,health-dashboard heuristic — not authoritative
T-29,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-30,none,health-dashboard heuristic — not authoritative
T-31,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-32,none,health-dashboard heuristic — not authoritative
T-33,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-34,none,health-dashboard heuristic — not authoritative
T-35,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-36,none,health-dashboard heuristic — not authoritative
T-37,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-38,none,health-dashboard heuristic — not authoritative
T-39,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-40,none,health-dashboard heuristic — not authoritative
T-41,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-42,none,health-dashboard heuristic — not authoritative
T-43,BLOAT_THRESHOLD_EXCEEDED,health-dashboard heuristic — not authoritative
T-44,none,health-dashboard heuristic — not authoritative
