check,check_name,severity,package,state_before,state_after,evidence_before
C1,Mutable image reference,BLOCK,a-fortnight-nobody-was-watching,FAIL,PASS,"{""environment/Dockerfile"": 1, ""task.toml"": 1, ""environment/_app/task.toml"": 1}"
C1,Mutable image reference,BLOCK,appointment-backlog-placeholder-and-duplicate-audit,FAIL,PASS,"{""files_edited"": {""environment/Dockerfile"": 1, ""environment/_app/task.toml"": 1, ""task.toml"": 1}, ""source_sha256"": ""cc44e6932326ade15607acc6425e7608b647958733520"
C1,Mutable image reference,BLOCK,appointment-backlog-stub-page-sweep,FAIL,PASS,"{""environment/Dockerfile"": 1, ""task.toml"": 1, ""environment/_app/task.toml"": 1}"
C1,Mutable image reference,BLOCK,code-c153-content-pipeline-schedule-audit,FAIL,PASS,"{""files_edited"": {""environment/Dockerfile"": 1}, ""source_sha256"": ""56b2be255760c20b4e63e1e3a15c4cee197f204e3894bffcf73f4f9df937ed08"", ""released_sha256"": ""d985abb"
C1,Mutable image reference,BLOCK,code-c480-supabase-storage-rls-hardening-audit,FAIL,PASS,"{""environment/Dockerfile"": 2}"
C1,Mutable image reference,BLOCK,code-c568-mso-service-tier-eligibility-audit,FAIL,PASS,"{""files_edited"": {""environment/Dockerfile"": 1}, ""source_sha256"": ""03814d6a098f6cc8b45047dbd8de564f5dd6f86a509b82e0cee8dc6f4ac7cdaa"", ""released_sha256"": ""59e5c53"
C1,Mutable image reference,BLOCK,ephyra-trunk-dependency-churn-manifest-audit,FAIL,PASS,"{""files_edited"": {""environment/Dockerfile"": 1, ""environment/_app/task.toml"": 1, ""task.toml"": 1}, ""source_sha256"": ""88dcc6de3b1d235d5bd5d40f073d53a5591d642bfd20f"
C1,Mutable image reference,BLOCK,fin-f57-municipal-fiscal-impact-allocation-audit,FAIL,PASS,"{""files_edited"": {""environment/Dockerfile"": 1}, ""source_sha256"": ""f6b2a0f6e358320685bce15e632d69cba82d62d9adcb421c138291e0d63e4051"", ""released_sha256"": ""afc4da5"
C1,Mutable image reference,BLOCK,gen-g1202-content-repurposing-coverage-audit,FAIL,PASS,"{""files_edited"": {""environment/Dockerfile"": 1}, ""source_sha256"": ""0acf95a56f45de7e15992062238c2ec35c641eaa0985ad54e54f45cd22513a02"", ""released_sha256"": ""6d83a08"
C1,Mutable image reference,BLOCK,gen-g1217-thought-leadership-post-scope-style-audit,FAIL,PASS,"{""environment/Dockerfile"": 1}"
C1,Mutable image reference,BLOCK,gen-g592-sop-review-cycle-compliance-audit,FAIL,PASS,"{""environment/Dockerfile"": 1}"
C1,Mutable image reference,BLOCK,gen-g644-handbook-revision-rollout-audit,FAIL,PASS,"{""environment/Dockerfile"": 1}"
C1,Mutable image reference,BLOCK,harbor-single-task-8jsgpxhw,FAIL,PASS,"{""files_edited"": {""environment/Dockerfile"": 1}, ""source_sha256"": ""496bb30cbcd63db52fb0266a393f87ced242675696b80e3463d392eac08d440d"", ""released_sha256"": ""e80f137"
C1,Mutable image reference,BLOCK,harbor-single-task-f9w4ghvz,FAIL,PASS,"{""files_edited"": {""environment/Dockerfile"": 1, ""environment/_app/task.toml"": 1, ""task.toml"": 1}, ""source_sha256"": ""3ecb7ba7b8aa4dfbaf9886c695ceec164429eb13a965a"
C1,Mutable image reference,BLOCK,harbor-single-task-t8rwovcc,FAIL,PASS,"{""environment/Dockerfile"": 1}"
C1,Mutable image reference,BLOCK,harbor-single-task-veeecron,FAIL,PASS,"{""files_edited"": {""environment/Dockerfile"": 1, ""environment/_app/task.toml"": 1, ""task.toml"": 1}, ""source_sha256"": ""1a2ecb735fbe0783cd668df0284d82fa016f8be2817fc"
C1,Mutable image reference,BLOCK,harbor-single-task-zq647anl,FAIL,PASS,"{""files_edited"": {""environment/Dockerfile"": 1}, ""source_sha256"": ""94cb04008f8e361ece63386de2a69e57fe7072d0f60cd93b47277858707b7e08"", ""released_sha256"": ""a821ee3"
C1,Mutable image reference,BLOCK,how-much-of-my-drive-is-link-only,FAIL,PASS,"{""files_edited"": {""environment/Dockerfile"": 1, ""environment/_app/task.toml"": 1, ""task.toml"": 1}, ""source_sha256"": ""6dcd8694fc1d20d4a0c39553db9cd800376283edb3cb8"
C1,Mutable image reference,BLOCK,how-much-of-my-drive-is-link-only-realdocoutput,FAIL,PASS,"{""environment/Dockerfile"": 1, ""task.toml"": 1, ""environment/_app/task.toml"": 1}"
C1,Mutable image reference,BLOCK,law-l28-gift-register-thresholds,FAIL,PASS,"{""environment/Dockerfile"": 1}"
C1,Mutable image reference,BLOCK,law-l29-survival-periods,FAIL,PASS,"{""files_edited"": {""environment/Dockerfile"": 1}, ""source_sha256"": ""ce50af13a1901e52b1db3c043813f3a2aa736c7020042e563f6206654ac2033a"", ""released_sha256"": ""986cd94"
C1,Mutable image reference,BLOCK,law-l36-litigation-hold-custodians,FAIL,PASS,"{""environment/Dockerfile"": 1}"
C1,Mutable image reference,BLOCK,onboarding-pack-feature-readiness-spread,FAIL,PASS,"{""files_edited"": {""environment/Dockerfile"": 1, ""environment/_app/task.toml"": 1, ""task.toml"": 1}, ""source_sha256"": ""b649b4184ddcc0d3eb285877fb1bb4a382dd06319a399"
C1,Mutable image reference,BLOCK,opened-files-migration-volume-signoff,FAIL,PASS,"{""files_edited"": {""environment/Dockerfile"": 1, ""environment/_app/task.toml"": 1, ""task.toml"": 1}, ""source_sha256"": ""84dcb8320886ca48e54a66a4155113216e1eaa6197bde"
C1,Mutable image reference,BLOCK,opened-files-migration-volume-signoff-realdocoutput,FAIL,PASS,"{""environment/Dockerfile"": 1, ""task.toml"": 1, ""environment/_app/task.toml"": 1}"
C1,Mutable image reference,BLOCK,relay-only-correspondents-cutover-exposure,FAIL,PASS,"{""files_edited"": {""environment/Dockerfile"": 1, ""environment/_app/task.toml"": 1, ""task.toml"": 1}, ""source_sha256"": ""d127bf20a76fd01e0ad080f658c53650963d5e060837d"
C1,Mutable image reference,BLOCK,rsvp-silence-backlog-among-2026-regulars,FAIL,PASS,"{""files_edited"": {""environment/Dockerfile"": 1, ""environment/_app/task.toml"": 1, ""task.toml"": 1}, ""source_sha256"": ""71782d26849e1cadea87a3eecb46a545d23fdec0a723f"
C1,Mutable image reference,BLOCK,stored-version-retention-readout,FAIL,PASS,"{""environment/Dockerfile"": 1, ""task.toml"": 1, ""environment/_app/task.toml"": 1}"
C1,Mutable image reference,BLOCK,tag-estate-grade-versus-status-split,FAIL,PASS,"{""environment/Dockerfile"": 1, ""task.toml"": 1, ""environment/_app/task.toml"": 1}"
C1,Mutable image reference,BLOCK,unanswered-invitation-silence-audit,FAIL,PASS,"{""files_edited"": {""environment/Dockerfile"": 1, ""environment/_app/task.toml"": 1, ""task.toml"": 1}, ""source_sha256"": ""d4fa3fa87f59768b6e492585f128ed07b391aeb2c7756"
C1,Mutable image reference,BLOCK,unclosed-review-thread-backlog-ownership-split,FAIL,PASS,"{""files_edited"": {""environment/Dockerfile"": 1, ""environment/_app/task.toml"": 1, ""task.toml"": 1}, ""source_sha256"": ""01bf182adb5fea88d40c89d407b34ee0378296fa560aa"
C1,Mutable image reference,BLOCK,urgent-label-inflation-2027-audit,FAIL,PASS,"{""environment/Dockerfile"": 1, ""task.toml"": 1, ""environment/_app/task.toml"": 1}"
C2,Internal infrastructure address,BLOCK,code-c142-autoscaling-headroom-recompute,FAIL,PASS,gateway_ip=39
C2,Internal infrastructure address,BLOCK,code-c165-business-profile-completeness-audit,FAIL,PASS,gateway_ip=55
C2,Internal infrastructure address,BLOCK,code-c221-api-auth-method-compliance-audit,FAIL,PASS,gateway_ip=18
C2,Internal infrastructure address,BLOCK,code-c349-tenant-provisioning-cutover-audit,FAIL,PASS,gateway_ip=28
C2,Internal infrastructure address,BLOCK,code-c356-wine-list-print-readiness-audit,FAIL,PASS,gateway_ip=44
C2,Internal infrastructure address,BLOCK,code-c366-agent-orchestration-run-audit,FAIL,PASS,gateway_ip=36
